year,drug,intent,nature,sex,jurisdiction,age_group,n,pop,rate_ht,rate_ht_lcl,rate_ht_ucl,rate_m,rate_m_lcl,rate_m_ucl
2002,All opioids,Accidental,Underlying,All,AUS,25-34,150,2854494,5.254871791638028,4.4475889957816745,6.166317610476584,52.548717916380276,44.47588995781675,61.66317610476584
2003,All opioids,Accidental,Underlying,All,AUS,25-34,153,2858260,5.352907013357777,4.538326639407086,6.2714862967728005,53.529070133577775,45.38326639407086,62.714862967728
2004,All opioids,Accidental,Underlying,All,AUS,25-34,152,2852818,5.3280650921299575,4.514714021617411,6.245622345097447,53.280650921299575,45.14714021617411,62.45622345097446
2005,All opioids,Accidental,Underlying,All,AUS,25-34,133,2853071,4.661643541292873,3.9030967122181197,5.524574533175965,46.61643541292874,39.030967122181195,55.24574533175965
2006,All opioids,Accidental,Underlying,All,AUS,25-34,96,2855732,3.3616599877019273,2.722955087634374,4.105162767720391,33.616599877019276,27.229550876343744,41.05162767720391
2007,All opioids,Accidental,Underlying,All,AUS,25-34,146,2888102,5.055223118851066,4.26849751904611,5.944936337845576,50.55223118851066,42.6849751904611,59.44936337845576
2008,All opioids,Accidental,Underlying,All,AUS,25-34,191,2958352,6.456297289842452,5.573102473881955,7.439698305279355,64.56297289842452,55.73102473881954,74.39698305279354
2009,All opioids,Accidental,Underlying,All,AUS,25-34,179,3053686,5.86176836780206,5.0344764437804566,6.786213356038509,58.6176836780206,50.344764437804564,67.86213356038509
2010,All opioids,Accidental,Underlying,All,AUS,25-34,197,3125453,6.303086304609284,5.453597986552243,7.247389812180412,63.03086304609284,54.53597986552243,72.47389812180413
2011,All opioids,Accidental,Underlying,All,AUS,25-34,212,3194331,6.636757430585622,5.773387918817704,7.592819408482034,66.36757430585621,57.73387918817704,75.92819408482035
2012,All opioids,Accidental,Underlying,All,AUS,25-34,159,3290393,4.83224952156171,4.1103338742236355,5.6444610134301545,48.3224952156171,41.10333874223635,56.44461013430154
2013,All opioids,Accidental,Underlying,All,AUS,25-34,162,3388170,4.781342140447498,4.073407071994198,5.576946461026802,47.81342140447498,40.734070719941975,55.76946461026802
2014,All opioids,Accidental,Underlying,All,AUS,25-34,166,3467570,4.7872141009410045,4.086657309117865,5.573406455521487,47.87214100941004,40.86657309117865,55.734064555214864
2015,All opioids,Accidental,Underlying,All,AUS,25-34,176,3547607,4.961090673234098,4.255201405010904,5.750622365678641,49.61090673234098,42.552014050109044,57.50622365678641
2016,All opioids,Accidental,Underlying,All,AUS,25-34,171,3614747,4.730621534508501,4.048140163829153,5.495221278883153,47.30621534508501,40.48140163829153,54.95221278883153
1997,All opioids,Intentional,Underlying,All,AUS,25-34,24,2863015,0.8382771309266629,0.5371001472987978,1.2472899276243687,8.382771309266628,5.371001472987978,12.472899276243687
1998,All opioids,Intentional,Underlying,All,AUS,25-34,35,2860327,1.2236363185048422,0.8523075754728002,1.7017820701315398,12.236363185048422,8.523075754728001,17.017820701315397
1999,All opioids,Intentional,Underlying,All,AUS,25-34,34,2857016,1.1900528383460225,0.82414617030249,1.6629798769959154,11.900528383460225,8.2414617030249,16.629798769959155
2e3,All opioids,Intentional,Underlying,All,AUS,25-34,28,2855634,0.9805178114562301,0.6515469630265389,1.4171223079847317,9.8051781145623,6.51546963026539,14.171223079847318
2001,All opioids,Intentional,Underlying,All,AUS,25-34,12,2851409,0.4208445719291761,0.21745752614465286,0.7351298783319955,4.2084457192917615,2.1745752614465284,7.351298783319955
2002,All opioids,Intentional,Underlying,All,AUS,25-34,26,2854494,0.9108444438839248,0.5949938181420895,1.3345985688913784,9.108444438839248,5.949938181420896,13.345985688913784
2003,All opioids,Intentional,Underlying,All,AUS,25-34,17,2858260,0.5947674459286418,0.3464739070594533,0.9522802985135371,5.947674459286418,3.464739070594533,9.522802985135371
2004,All opioids,Intentional,Underlying,All,AUS,25-34,12,2852818,0.42063671779973344,0.217350124391601,0.7347667994399772,4.206367177997334,2.17350124391601,7.347667994399773
2005,All opioids,Intentional,Underlying,All,AUS,25-34,10,2853071,0.3504995143829228,0.16807813710913502,0.6445811695089794,3.504995143829228,1.6807813710913502,6.445811695089794
2006,All opioids,Intentional,Underlying,All,AUS,25-34,10,2855732,0.3501729153856174,0.16792152019870807,0.6439805422470153,3.501729153856174,1.6792152019870807,6.439805422470153
2007,All opioids,Intentional,Underlying,All,AUS,25-34,20,2888102,0.6924963176508309,0.42299554503908815,1.0695043976666,6.924963176508308,4.229955450390881,10.695043976666001
2008,All opioids,Intentional,Underlying,All,AUS,25-34,18,2958352,0.6084468650113306,0.36060342268353057,0.9616088639924361,6.0844686501133065,3.606034226835306,9.61608863992436
2009,All opioids,Intentional,Underlying,All,AUS,25-34,17,3053686,0.556704258394609,0.32430070072422407,0.8913374479331871,5.56704258394609,3.2430070072422406,8.913374479331871
2010,All opioids,Intentional,Underlying,All,AUS,25-34,16,3125453,0.5119257912373022,0.29260968940055315,0.8313354206822923,5.119257912373022,2.9260968940055316,8.313354206822922
2011,All opioids,Intentional,Underlying,All,AUS,25-34,21,3194331,0.6574146511429153,0.4069508277111121,1.0049281090838247,6.574146511429153,4.069508277111121,10.049281090838246
2012,All opioids,Intentional,Underlying,All,AUS,25-34,16,3290393,0.4862641027986626,0.2779418238386804,0.789662445968531,4.862641027986626,2.779418238386804,7.8966244596853095
2013,All opioids,Intentional,Underlying,All,AUS,25-34,22,3388170,0.6493180684558331,0.4069233406347344,0.9830753727952286,6.493180684558331,4.069233406347344,9.830753727952287
2014,All opioids,Intentional,Underlying,All,AUS,25-34,20,3467570,0.5767727832459042,0.35230846950991057,0.8907787845406735,5.767727832459042,3.5230846950991057,8.907787845406736
2015,All opioids,Intentional,Underlying,All,AUS,25-34,23,3547607,0.6483243493430924,0.41098233170517473,0.9728052652977133,6.4832434934309235,4.109823317051747,9.728052652977134
2016,All opioids,Intentional,Underlying,All,AUS,25-34,20,3614747,0.5532890683635674,0.33796397911623705,0.85451009155266,5.532890683635674,3.3796397911623703,8.5451009155266
1997,All opioids,Undetermined,Underlying,All,AUS,25-34,22,2863015,0.7684207033494411,0.48156417449380734,1.1633981959031334,7.6842070334944115,4.815641744938073,11.633981959031335
1998,All opioids,Undetermined,Underlying,All,AUS,25-34,12,2860327,0.4195324520588031,0.21677953155936314,0.7328378717694715,4.195324520588031,2.167795315593631,7.328378717694715
1999,All opioids,Undetermined,Underlying,All,AUS,25-34,22,2857016,0.7700341895180147,0.48257533560833676,1.1658410333871456,7.700341895180147,4.825753356083368,11.658410333871457
2e3,All opioids,Undetermined,Underlying,All,AUS,25-34,8,2855634,0.28014794613035143,0.12094797237727423,0.5520031313961586,2.801479461303514,1.2094797237727422,5.520031313961587
2001,All opioids,Undetermined,Underlying,All,AUS,25-34,6,2851409,0.21042228596458806,0.07722115981443525,0.4580008867974942,2.1042228596458807,0.7722115981443525,4.580008867974942
2002,All opioids,Undetermined,Underlying,All,AUS,25-34,3,2854494,0.10509743583276056,0.021673586207546214,0.30713942956186774,1.0509743583276057,0.21673586207546214,3.0713942956186773
2003,All opioids,Undetermined,Underlying,All,AUS,25-34,5,2858260,0.1749316017437182,0.05679978949074916,0.40823165037828635,1.7493160174371818,0.5679978949074916,4.082316503782863
2004,All opioids,Undetermined,Underlying,All,AUS,25-34,1,2852818,0.03505305981664446,8.864766976084573e-4,0.19530314543486693,0.3505305981664446,0.008864766976084574,1.9530314543486693
2005,All opioids,Undetermined,Underlying,All,AUS,25-34,10,2853071,0.3504995143829228,0.16807813710913502,0.6445811695089794,3.504995143829228,1.6807813710913502,6.445811695089794
2006,All opioids,Undetermined,Underlying,All,AUS,25-34,12,2855732,0.4202074984627409,0.21712833948234583,0.7340170405502887,4.2020749846274095,2.1712833948234582,7.340170405502887
2007,All opioids,Undetermined,Underlying,All,AUS,25-34,20,2888102,0.6924963176508309,0.42299554503908815,1.0695043976666,6.924963176508308,4.229955450390881,10.695043976666001
2008,All opioids,Undetermined,Underlying,All,AUS,25-34,19,2958352,0.6422494686230713,0.3866770804454264,1.002952140869005,6.4224946862307135,3.8667708044542644,10.02952140869005
2009,All opioids,Undetermined,Underlying,All,AUS,25-34,17,3053686,0.556704258394609,0.32430070072422407,0.8913374479331871,5.56704258394609,3.2430070072422406,8.913374479331871
2010,All opioids,Undetermined,Underlying,All,AUS,25-34,21,3125453,0.6719026009989593,0.41591911458379455,1.0270744790012336,6.719026009989593,4.159191145837945,10.270744790012337
2011,All opioids,Undetermined,Underlying,All,AUS,25-34,21,3194331,0.6574146511429153,0.4069508277111121,1.0049281090838247,6.574146511429153,4.069508277111121,10.049281090838246
2012,All opioids,Undetermined,Underlying,All,AUS,25-34,19,3290393,0.5774386220734119,0.34765662165275946,0.901741971808262,5.774386220734119,3.4765662165275946,9.01741971808262
2013,All opioids,Undetermined,Underlying,All,AUS,25-34,14,3388170,0.4132024071991665,0.22590170493381517,0.6932832831126673,4.132024071991665,2.259017049338152,6.932832831126673
2014,All opioids,Undetermined,Underlying,All,AUS,25-34,7,3467570,0.20187047413606646,0.08116224138008113,0.4159303342289998,2.0187047413606645,0.8116224138008112,4.159303342289998
2015,All opioids,Undetermined,Underlying,All,AUS,25-34,14,3547607,0.3946322126436215,0.21574920209752788,0.6621256586041931,3.946322126436215,2.157492020975279,6.621256586041931
2016,All opioids,Undetermined,Underlying,All,AUS,25-34,0,3614747,0,0,0.10205084340266833,0,0,1.0205084340266832
1997,All opioids,All,Underlying,All,AUS,25-34,336,2863015,11.735879832973282,10.514425203690342,13.06027901348094,117.35879832973282,105.14425203690342,130.6027901348094
1998,All opioids,All,Underlying,All,AUS,25-34,452,2860327,15.802389027548248,14.378974347264126,17.328592202352148,158.02389027548247,143.78974347264125,173.2859220235215
1999,All opioids,All,Underlying,All,AUS,25-34,497,2857016,17.39577237229333,15.899815460654747,18.994562873354045,173.95772372293328,158.99815460654747,189.94562873354045
2e3,All opioids,All,Underlying,All,AUS,25-34,401,2855634,14.042415799783866,12.70146376735928,15.486424161871465,140.42415799783865,127.0146376735928,154.86424161871466
2001,All opioids,All,Underlying,All,AUS,25-34,174,2851409,6.102246292973053,5.229206323099482,7.079365511651961,61.02246292973053,52.29206323099482,70.7936551165196
2002,All opioids,All,Underlying,All,AUS,25-34,178,2854494,6.235781192743794,5.35333017930969,7.222171921026541,62.357811927437936,53.5333017930969,72.2217192102654
2003,All opioids,All,Underlying,All,AUS,25-34,175,2858260,6.122606061030138,5.2490618490684655,7.09997266037481,61.226060610301374,52.49061849068465,70.9997266037481
2004,All opioids,All,Underlying,All,AUS,25-34,168,2852818,5.888914049196269,5.032075693355044,6.849825994373575,58.88914049196269,50.32075693355044,68.49825994373575
2005,All opioids,All,Underlying,All,AUS,25-34,153,2853071,5.3626425700587195,4.546580684585732,6.28289251217857,53.62642570058719,45.465806845857315,62.8289251217857
2006,All opioids,All,Underlying,All,AUS,25-34,118,2855732,4.132040401550285,3.420199054039101,4.948346136827178,41.32040401550285,34.20199054039101,49.483461368271776
2007,All opioids,All,Underlying,All,AUS,25-34,186,2888102,6.440215754152728,5.547901207835675,7.4352059241874695,64.40215754152729,55.47901207835675,74.3520592418747
2008,All opioids,All,Underlying,All,AUS,25-34,228,2958352,7.706993623476855,6.739002816503142,8.77499177231825,77.06993623476855,67.39002816503142,87.7499177231825
2009,All opioids,All,Underlying,All,AUS,25-34,213,3053686,6.975176884591278,6.069840449320107,7.977469940727741,69.75176884591278,60.69840449320107,79.77469940727741
2010,All opioids,All,Underlying,All,AUS,25-34,234,3125453,7.486914696845545,6.558294409651601,8.51016917602704,74.86914696845545,65.582944096516,85.1016917602704
2011,All opioids,All,Underlying,All,AUS,25-34,254,3194331,7.951586732871453,7.0036881965683255,8.991999918801858,79.51586732871453,70.03688196568325,89.91999918801858
2012,All opioids,All,Underlying,All,AUS,25-34,194,3290393,5.895952246433785,5.095439899580348,6.786542658049942,58.95952246433785,50.95439899580348,67.86542658049942
2013,All opioids,All,Underlying,All,AUS,25-34,198,3388170,5.843862616102498,5.058184212520378,6.716999262340216,58.43862616102498,50.58184212520378,67.16999262340215
2014,All opioids,All,Underlying,All,AUS,25-34,193,3467570,5.565857358322976,4.80828008697168,6.408915170895135,55.65857358322976,48.082800869716806,64.08915170895135
2015,All opioids,All,Underlying,All,AUS,25-34,213,3547607,6.0040472352208125,5.224757647147083,6.866794510615504,60.04047235220813,52.24757647147083,68.66794510615505
2016,All opioids,All,Underlying,All,AUS,25-34,191,3614747,5.283910602872068,4.5610934457691314,6.088737707181108,52.839106028720686,45.610934457691314,60.88737707181109
1997,Heroin,Accidental,Underlying,All,AUS,25-34,114,2863015,3.981816371901649,3.2845074897376674,4.783378736719736,39.81816371901649,32.845074897376676,47.83378736719736
1998,Heroin,Accidental,Underlying,All,AUS,25-34,153,2860327,5.349038763749739,4.535047041947196,6.266954240761223,53.49038763749739,45.35047041947196,62.66954240761223
1999,Heroin,Accidental,Underlying,All,AUS,25-34,183,2857016,6.405284394627121,5.510840353097902,7.4035414545356355,64.05284394627121,55.10840353097902,74.03541454535636
2e3,Heroin,Accidental,Underlying,All,AUS,25-34,168,2855634,5.88310686873738,5.027113458995709,6.843071238687042,58.8310686873738,50.271134589957086,68.43071238687043
2001,Heroin,Accidental,Underlying,All,AUS,25-34,41,2851409,1.4378856207580182,1.0318515389158547,1.9506542015064974,14.378856207580181,10.318515389158547,19.506542015064973
2002,Heroin,Accidental,Underlying,All,AUS,25-34,40,2854494,1.4012991444368073,1.001108651648022,1.9081715810332014,14.012991444368073,10.011086516480221,19.081715810332014
2003,Heroin,Accidental,Underlying,All,AUS,25-34,62,2858260,2.1691518616221055,1.66307628564013,2.7807545553246102,21.691518616221053,16.6307628564013,27.8075455532461
2004,Heroin,Accidental,Underlying,All,AUS,25-34,67,2852818,2.3485550077151784,1.8200981898371007,2.982581832948788,23.485550077151785,18.20098189837101,29.82581832948788
2005,Heroin,Accidental,Underlying,All,AUS,25-34,60,2853071,2.102997086297537,1.6048083259777035,2.7069735238696233,21.029970862975368,16.048083259777034,27.069735238696232
2006,Heroin,Accidental,Underlying,All,AUS,25-34,28,2855732,0.9804841630797287,0.6515246039247826,1.4170736766754273,9.804841630797288,6.515246039247826,14.170736766754272
2007,Heroin,Accidental,Underlying,All,AUS,25-34,52,2888102,1.8004904258921604,1.3446923607513057,2.361103295530112,18.004904258921602,13.446923607513057,23.61103295530112
2008,Heroin,Accidental,Underlying,All,AUS,25-34,71,2958352,2.3999848564335817,1.8744080588880692,3.0272551279384126,23.999848564335817,18.744080588880692,30.272551279384125
2009,Heroin,Accidental,Underlying,All,AUS,25-34,62,3053686,2.0303331776744566,1.5566447972036936,2.6027952825870506,20.303331776744567,15.566447972036936,26.027952825870507
2010,Heroin,Accidental,Underlying,All,AUS,25-34,74,3125453,2.3676567844725227,1.8591204266176649,2.9723762967190996,23.676567844725227,18.59120426617665,29.723762967190996
2011,Heroin,Accidental,Underlying,All,AUS,25-34,81,3194331,2.5357422258369593,2.0137456635528292,3.151696066133436,25.357422258369592,20.13745663552829,31.51696066133436
2012,Heroin,Accidental,Underlying,All,AUS,25-34,54,3290393,1.6411413469454863,1.2328767860577692,2.1413327761317213,16.411413469454864,12.328767860577692,21.413327761317213
2013,Heroin,Accidental,Underlying,All,AUS,25-34,63,3388170,1.8594108323962493,1.4288222997530242,2.378994145845908,18.594108323962494,14.288222997530243,23.78994145845908
2014,Heroin,Accidental,Underlying,All,AUS,25-34,51,3467570,1.4707705972770557,1.0950853018782032,1.9337915361330213,14.707705972770558,10.950853018782032,19.337915361330214
2015,Heroin,Accidental,Underlying,All,AUS,25-34,62,3547607,1.7476569417074665,1.3399185490934475,2.2404171361997314,17.476569417074664,13.399185490934475,22.404171361997314
2016,Heroin,Accidental,Underlying,All,AUS,25-34,65,3614747,1.7981894721815939,1.3878044444143882,2.291939999077874,17.981894721815937,13.878044444143882,22.91939999077874
1997,Heroin,All,Underlying,All,AUS,25-34,124,2863015,4.331098509787759,3.6023836533762688,5.163937810712541,43.310985097877584,36.02383653376269,51.63937810712541
1998,Heroin,All,Underlying,All,AUS,25-34,163,2860327,5.698649140465408,4.857383140186808,6.6437547591011175,56.986491404654075,48.573831401868084,66.43754759101117
1999,Heroin,All,Underlying,All,AUS,25-34,191,2857016,6.685296827179127,5.770775819881172,7.703578265161899,66.85296827179127,57.707758198811725,77.03578265161899
2e3,Heroin,All,Underlying,All,AUS,25-34,182,2855634,6.373365774465495,5.481030371479603,7.369571302653279,63.73365774465495,54.810303714796035,73.69571302653279
2001,Heroin,All,Underlying,All,AUS,25-34,47,2851409,1.648307906722606,1.2111145768245266,2.19190007659307,16.48307906722606,12.111145768245265,21.9190007659307
2002,Heroin,All,Underlying,All,AUS,25-34,43,2854494,1.506396580269568,1.0901866158115008,2.029106974479772,15.06396580269568,10.901866158115007,20.29106974479772
2003,Heroin,All,Underlying,All,AUS,25-34,67,2858260,2.344083463365824,1.8166328037808657,2.9769031297045387,23.440834633658238,18.166328037808658,29.769031297045387
2004,Heroin,All,Underlying,All,AUS,25-34,73,2852818,2.558873366615045,2.005748241288499,3.2173991633116814,25.588733666150453,20.05748241288499,32.17399163311681
2005,Heroin,All,Underlying,All,AUS,25-34,62,2853071,2.1730969891741214,1.6661009922969874,2.7858120303708254,21.730969891741214,16.661009922969875,27.858120303708255
2006,Heroin,All,Underlying,All,AUS,25-34,31,2855732,1.085536037695414,0.7375689878814338,1.5408313351720255,10.85536037695414,7.375689878814338,15.408313351720256
2007,Heroin,All,Underlying,All,AUS,25-34,63,2888102,2.1813634006001172,1.6762194864842737,2.790911330393016,21.813634006001173,16.762194864842737,27.90911330393016
2008,Heroin,All,Underlying,All,AUS,25-34,79,2958352,2.6704056853275064,2.1141853223015796,3.3281223783677065,26.704056853275063,21.141853223015797,33.28122378367706
2009,Heroin,All,Underlying,All,AUS,25-34,73,3053686,2.3905535801650855,1.87381239794012,3.0057622971977156,23.905535801650856,18.738123979401202,30.057622971977157
2010,Heroin,All,Underlying,All,AUS,25-34,83,3125453,2.655615042043505,2.115182534175169,3.2920340087177085,26.556150420435053,21.15182534175169,32.92034008717708
2011,Heroin,All,Underlying,All,AUS,25-34,97,3194331,3.0366295790887046,2.4625012541079463,3.704430577986115,30.366295790887044,24.625012541079464,37.04430577986115
2012,Heroin,All,Underlying,All,AUS,25-34,61,3290393,1.8538818919199014,1.418072612081041,2.3813885143548768,18.538818919199013,14.180726120810409,23.813885143548767
2013,Heroin,All,Underlying,All,AUS,25-34,65,3388170,1.918439747710416,1.4806110531743026,2.445208840125126,19.18439747710416,14.806110531743027,24.45208840125126
2014,Heroin,All,Underlying,All,AUS,25-34,58,3467570,1.6726410714131221,1.270106513324446,2.1622772202533045,16.72641071413122,12.70106513324446,21.622772202533046
2015,Heroin,All,Underlying,All,AUS,25-34,67,3547607,1.8885970176516171,1.4636370031220194,2.3984514461464577,18.88597017651617,14.636370031220194,23.984514461464578
2016,Heroin,All,Underlying,All,AUS,25-34,69,3614747,1.9088472858543073,1.4851969305106378,2.415768408952849,19.088472858543074,14.851969305106378,24.157684089528487
1997,Opium,All,Underlying,All,AUS,25-34,0,2863015,0,0,0.12884598230790448,0,0,1.2884598230790447
1998,Opium,All,Underlying,All,AUS,25-34,1,2860327,0.03496103767156692,8.841494974238833e-4,0.1947904308679414,0.3496103767156692,0.008841494974238834,1.9479043086794139
1999,Opium,All,Underlying,All,AUS,25-34,0,2857016,0,0,0.12911652578678773,0,0,1.2911652578678772
2e3,Opium,All,Underlying,All,AUS,25-34,0,2855634,0,0,0.12917901244951738,0,0,1.2917901244951737
2001,Opium,All,Underlying,All,AUS,25-34,3,2851409,0.10521114298229403,0.02169703532110736,0.3074717302385502,1.0521114298229404,0.2169703532110736,3.0747173023855017
2002,Opium,All,Underlying,All,AUS,25-34,0,2854494,0,0,0.12923060270481043,0,0,1.2923060270481044
2003,Opium,All,Underlying,All,AUS,25-34,0,2858260,0,0,0.12906033042384707,0,0,1.2906033042384708
2004,Opium,All,Underlying,All,AUS,25-34,0,2852818,0,0,0.129306524298874,0,0,1.29306524298874
2005,Opium,All,Underlying,All,AUS,25-34,3,2853071,0.10514985431487685,0.0216843961429363,0.3072926186722217,1.0514985431487684,0.216843961429363,3.072926186722217
2006,Opium,All,Underlying,All,AUS,25-34,0,2855732,0,0,0.12917457942036056,0,0,1.2917457942036057
2007,Opium,All,Underlying,All,AUS,25-34,0,2888102,0,0,0.12772678390072964,0,0,1.2772678390072965
2008,Opium,All,Underlying,All,AUS,25-34,0,2958352,0,0,0.1246937416633535,0,0,1.246937416633535
2009,Opium,All,Underlying,All,AUS,25-34,0,3053686,0,0,0.12080088785725353,0,0,1.2080088785725354
2010,Opium,All,Underlying,All,AUS,25-34,0,3125453,0,0,0.11802704441156694,0,0,1.1802704441156695
2011,Opium,All,Underlying,All,AUS,25-34,0,3194331,0,0,0.11548207747953018,0,0,1.1548207747953019
2012,Opium,All,Underlying,All,AUS,25-34,0,3290393,0,0,0.11211061415376981,0,0,1.1211061415376982
2013,Opium,All,Underlying,All,AUS,25-34,0,3388170,0,0,0.10887528667016859,0,0,1.088752866701686
2014,Opium,All,Underlying,All,AUS,25-34,0,3467570,0,0,0.10638227347602648,0,0,1.063822734760265
2015,Opium,All,Underlying,All,AUS,25-34,2,3547607,0.0563760303776602,0.006827239861104621,0.20364975600903576,0.563760303776602,0.06827239861104621,2.0364975600903574
2016,Opium,All,Underlying,All,AUS,25-34,1,3614747,0.027664453418178366,6.996220425711575e-4,0.1541364661906369,0.27664453418178364,0.006996220425711575,1.541364661906369
1997,Other opioids,Accidental,Underlying,All,AUS,25-34,83,2863015,2.8990417444547094,2.3090705417140263,3.5937979956964208,28.990417444547095,23.090705417140263,35.937979956964206
1998,Other opioids,Accidental,Underlying,All,AUS,25-34,105,2860327,3.6709089555145265,3.002440724611033,4.443859244851488,36.70908955514526,30.02440724611033,44.43859244851488
1999,Other opioids,Accidental,Underlying,All,AUS,25-34,211,2857016,7.38532790855914,6.422383737076627,8.45191373199677,73.8532790855914,64.22383737076628,84.5191373199677
2e3,Other opioids,Accidental,Underlying,All,AUS,25-34,111,2855634,3.8870527525586263,3.197655155945566,4.68101484363757,38.87052752558626,31.976551559455658,46.8101484363757
2001,Other opioids,Accidental,Underlying,All,AUS,25-34,52,2851409,1.8236598116930962,1.361996366172151,2.391486857910285,18.236598116930963,13.61996366172151,23.91486857910285
2002,Other opioids,Accidental,Underlying,All,AUS,25-34,57,2854494,1.9968512808224506,1.5123957529989487,2.5871529523777763,19.968512808224506,15.123957529989486,25.871529523777763
2003,Other opioids,Accidental,Underlying,All,AUS,25-34,47,2858260,1.6443570563909513,1.2082116407844796,2.186646283227617,16.443570563909514,12.082116407844797,21.86646283227617
2004,Other opioids,Accidental,Underlying,All,AUS,25-34,45,2852818,1.5773876917490004,1.1505573299569323,2.11066883619193,15.773876917490004,11.505573299569322,21.1066883619193
2005,Other opioids,Accidental,Underlying,All,AUS,25-34,37,2853071,1.2968482032168145,0.9131007836074905,1.7875344453347102,12.968482032168145,9.131007836074904,17.8753444533471
2006,Other opioids,Accidental,Underlying,All,AUS,25-34,39,2855732,1.3656743700039078,0.9711271586428711,1.8669210388894375,13.656743700039078,9.711271586428712,18.669210388894374
2007,Other opioids,Accidental,Underlying,All,AUS,25-34,51,2888102,1.7658656100096188,1.3148029190914314,2.32178694414144,17.658656100096188,13.148029190914315,23.2178694414144
2008,Other opioids,Accidental,Underlying,All,AUS,25-34,88,2958352,2.974629117833172,2.3857395246006896,3.6648262566270993,29.746291178331717,23.857395246006895,36.648262566270994
2009,Other opioids,Accidental,Underlying,All,AUS,25-34,74,3053686,2.4233008894824155,1.90281303144248,3.0422323754667637,24.233008894824156,19.0281303144248,30.422323754667637
2010,Other opioids,Accidental,Underlying,All,AUS,25-34,74,3125453,2.3676567844725227,1.8591204266176649,2.9723762967190996,23.676567844725227,18.59120426617665,29.723762967190996
2011,Other opioids,Accidental,Underlying,All,AUS,25-34,73,3194331,2.285298549211087,1.7913092557459367,2.8734198948952074,22.852985492110868,17.91309255745937,28.734198948952073
2012,Other opioids,Accidental,Underlying,All,AUS,25-34,53,3290393,1.61074984052057,1.2065618598335077,2.106899972700129,16.1074984052057,12.065618598335078,21.06899972700129
2013,Other opioids,Accidental,Underlying,All,AUS,25-34,49,3388170,1.4462084251970828,1.0699129197680637,1.9119641829837093,14.462084251970829,10.699129197680637,19.119641829837093
2014,Other opioids,Accidental,Underlying,All,AUS,25-34,71,3467570,2.04754338052296,1.5991483459101437,2.5826980456766147,20.4754338052296,15.991483459101437,25.826980456766147
2015,Other opioids,Accidental,Underlying,All,AUS,25-34,72,3547607,2.0295370935957675,1.587987775073566,2.555866295884889,20.295370935957674,15.87987775073566,25.558662958848892
2016,Other opioids,Accidental,Underlying,All,AUS,25-34,66,3614747,1.825853925599772,1.412115293885026,2.322933760422885,18.25853925599772,14.121152938850262,23.22933760422885
1997,Other opioids,Intentional,Underlying,All,AUS,25-34,12,2863015,0.41913856546333145,0.21657600367675284,0.7321498319934605,4.191385654633314,2.1657600367675283,7.321498319934605
1998,Other opioids,Intentional,Underlying,All,AUS,25-34,20,2860327,0.6992207534313385,0.4271030129137265,1.0798897433439265,6.992207534313385,4.271030129137265,10.798897433439265
1999,Other opioids,Intentional,Underlying,All,AUS,25-34,22,2857016,0.7700341895180147,0.48257533560833676,1.1658410333871456,7.700341895180147,4.825753356083368,11.658410333871457
2e3,Other opioids,Intentional,Underlying,All,AUS,25-34,16,2855634,0.5602958922607029,0.32025736896465967,0.9098854351004828,5.602958922607028,3.202573689646597,9.098854351004828
2001,Other opioids,Intentional,Underlying,All,AUS,25-34,6,2851409,0.21042228596458806,0.07722115981443525,0.4580008867974942,2.1042228596458807,0.7722115981443525,4.580008867974942
2002,Other opioids,Intentional,Underlying,All,AUS,25-34,19,2854494,0.6656170936074834,0.40074595157316434,1.0394435832915054,6.656170936074835,4.007459515731643,10.394435832915054
2003,Other opioids,Intentional,Underlying,All,AUS,25-34,9,2858260,0.3148768831386928,0.14398203584100988,0.5977344457431963,3.1487688313869278,1.4398203584100988,5.977344457431963
2004,Other opioids,Intentional,Underlying,All,AUS,25-34,9,2852818,0.3154775383498001,0.1442566941749964,0.598874676509314,3.154775383498001,1.442566941749964,5.98874676509314
2005,Other opioids,Intentional,Underlying,All,AUS,25-34,8,2853071,0.2803996115063383,0.12105662360018558,0.5524990125101472,2.803996115063383,1.2105662360018559,5.524990125101472
2006,Other opioids,Intentional,Underlying,All,AUS,25-34,7,2855732,0.24512104076993219,0.0985511782416305,0.505043032421268,2.451210407699322,0.985511782416305,5.05043032421268
2007,Other opioids,Intentional,Underlying,All,AUS,25-34,9,2888102,0.3116233429428739,0.14249430725193393,0.5915582125873492,3.116233429428739,1.4249430725193393,5.915582125873492
2008,Other opioids,Intentional,Underlying,All,AUS,25-34,11,2958352,0.3718286397291465,0.18561525045243527,0.6653032010151306,3.7182863972914646,1.8561525045243528,6.653032010151306
2009,Other opioids,Intentional,Underlying,All,AUS,25-34,9,3053686,0.2947257838559695,0.13476765252318834,0.5594813798438831,2.947257838559695,1.3476765252318834,5.594813798438832
2010,Other opioids,Intentional,Underlying,All,AUS,25-34,8,3125453,0.2559628956186511,0.1105065864537413,0.5043489408163675,2.559628956186511,1.105065864537413,5.0434894081636745
2011,Other opioids,Intentional,Underlying,All,AUS,25-34,9,3194331,0.2817491362041066,0.12883389159198746,0.5348476588337114,2.817491362041066,1.2883389159198746,5.348476588337114
2012,Other opioids,Intentional,Underlying,All,AUS,25-34,12,3290393,0.364698077098997,0.1884456802474958,0.6370533705988182,3.6469807709899698,1.8844568024749582,6.370533705988182
