year,sex,age,location,n
1981,male,4,NSW,40601
1982,male,4,NSW,40176
1983,male,4,NSW,40015
1984,male,4,NSW,40703
1985,male,4,NSW,41748
1986,male,4,NSW,42291
1987,male,4,NSW,43023
1988,male,4,NSW,42924
1989,male,4,NSW,43547
1990,male,4,NSW,43441
1991,male,4,NSW,43227
1992,male,4,NSW,43729
1993,male,4,NSW,44051
1994,male,4,NSW,45243
1995,male,4,NSW,45490
1996,male,4,NSW,45006
1997,male,4,NSW,45340
1998,male,4,NSW,45466
1999,male,4,NSW,45448
2e3,male,4,NSW,45054
2001,male,4,NSW,45173
2002,male,4,NSW,44242
2003,male,4,NSW,44469
2004,male,4,NSW,44734
2005,male,4,NSW,44503
2006,male,4,NSW,43506
2007,male,4,NSW,44100
2008,male,4,NSW,44515
2009,male,4,NSW,45848
2010,male,4,NSW,47445
2011,male,4,NSW,47946
2012,male,4,NSW,48857
2013,male,4,NSW,49479
2014,male,4,NSW,50632
2015,male,4,NSW,50950
2016,male,4,NSW,51960
2017,male,4,NSW,52599
1971,male,5,NSW,42578
1972,male,5,NSW,42684
1973,male,5,NSW,42153
1974,male,5,NSW,43820
1975,male,5,NSW,44152
1976,male,5,NSW,47739
1977,male,5,NSW,48294
1978,male,5,NSW,45742
1979,male,5,NSW,44445
1980,male,5,NSW,42745
1981,male,5,NSW,41099
1982,male,5,NSW,40757
1983,male,5,NSW,40223
1984,male,5,NSW,40014
1985,male,5,NSW,40913
1986,male,5,NSW,42074
1987,male,5,NSW,42527
1988,male,5,NSW,43399
1989,male,5,NSW,43111
1990,male,5,NSW,43640
1991,male,5,NSW,43757
1992,male,5,NSW,43422
1993,male,5,NSW,43706
1994,male,5,NSW,44019
1995,male,5,NSW,45412
1996,male,5,NSW,45631
1997,male,5,NSW,45422
1998,male,5,NSW,45601
1999,male,5,NSW,45702
2e3,male,5,NSW,45716
2001,male,5,NSW,45367
2002,male,5,NSW,45220
2003,male,5,NSW,44248
2004,male,5,NSW,44481
2005,male,5,NSW,44842
2006,male,5,NSW,44571
2007,male,5,NSW,43799
2008,male,5,NSW,44490
2009,male,5,NSW,44961
2010,male,5,NSW,46284
2011,male,5,NSW,47895
2012,male,5,NSW,48489
2013,male,5,NSW,49362
2014,male,5,NSW,50059
2015,male,5,NSW,51187
2016,male,5,NSW,51548
2017,male,5,NSW,52499
1971,male,6,NSW,42236
1972,male,6,NSW,42592
1973,male,6,NSW,42564
1974,male,6,NSW,42079
1975,male,6,NSW,43644
1976,male,6,NSW,44144
1977,male,6,NSW,47913
1978,male,6,NSW,48484
1979,male,6,NSW,45879
1980,male,6,NSW,44504
1981,male,6,NSW,42947
1982,male,6,NSW,41260
1983,male,6,NSW,40837
1984,male,6,NSW,40352
1985,male,6,NSW,40236
1986,male,6,NSW,41158
1987,male,6,NSW,42512
1988,male,6,NSW,42974
1989,male,6,NSW,43588
1990,male,6,NSW,43256
1991,male,6,NSW,43867
1992,male,6,NSW,43935
1993,male,6,NSW,43319
1994,male,6,NSW,43696
1995,male,6,NSW,44078
1996,male,6,NSW,45638
1997,male,6,NSW,45926
1998,male,6,NSW,45814
1999,male,6,NSW,45932
2e3,male,6,NSW,45969
2001,male,6,NSW,46031
2002,male,6,NSW,45385
2003,male,6,NSW,45118
2004,male,6,NSW,44283
2005,male,6,NSW,44418
2006,male,6,NSW,44958
2007,male,6,NSW,44714
2008,male,6,NSW,44074
2009,male,6,NSW,44880
2010,male,6,NSW,45405
2011,male,6,NSW,46706
2012,male,6,NSW,48037
2013,male,6,NSW,49069
2014,male,6,NSW,49982
2015,male,6,NSW,50536
2016,male,6,NSW,51637
2017,male,6,NSW,51981
1971,male,7,NSW,44658
1972,male,7,NSW,42387
1973,male,7,NSW,42424
1974,male,7,NSW,42557
1975,male,7,NSW,41974
1976,male,7,NSW,43439
1977,male,7,NSW,44283
1978,male,7,NSW,48196
1979,male,7,NSW,48596
1980,male,7,NSW,46006
1981,male,7,NSW,44535
1982,male,7,NSW,43190
1983,male,7,NSW,41285
1984,male,7,NSW,40835
1985,male,7,NSW,40513
1986,male,7,NSW,40525
1987,male,7,NSW,41513
1988,male,7,NSW,43026
1989,male,7,NSW,43173
1990,male,7,NSW,43585
1991,male,7,NSW,43421
1992,male,7,NSW,43996
1993,male,7,NSW,43878
1994,male,7,NSW,43335
1995,male,7,NSW,43827
1996,male,7,NSW,44260
1997,male,7,NSW,45867
1998,male,7,NSW,46158
1999,male,7,NSW,46110
2e3,male,7,NSW,46226
2001,male,7,NSW,46385
2002,male,7,NSW,46042
2003,male,7,NSW,45310
2004,male,7,NSW,45037
2005,male,7,NSW,44333
2006,male,7,NSW,44442
2007,male,7,NSW,45013
2008,male,7,NSW,44961
2009,male,7,NSW,44401
2010,male,7,NSW,45161
2011,male,7,NSW,45700
2012,male,7,NSW,46768
2013,male,7,NSW,48163
2014,male,7,NSW,49578
2015,male,7,NSW,50491
2016,male,7,NSW,50920
2017,male,7,NSW,51950
1971,male,8,NSW,45533
1972,male,8,NSW,45000
1973,male,8,NSW,42353
1974,male,8,NSW,42386
1975,male,8,NSW,42421
1976,male,8,NSW,41779
1977,male,8,NSW,43679
1978,male,8,NSW,44420
1979,male,8,NSW,48408
1980,male,8,NSW,48709
1981,male,8,NSW,46100
1982,male,8,NSW,44761
1983,male,8,NSW,43225
1984,male,8,NSW,41407
1985,male,8,NSW,40937
1986,male,8,NSW,40757
1987,male,8,NSW,41018
1988,male,8,NSW,41940
1989,male,8,NSW,43365
1990,male,8,NSW,43279
1991,male,8,NSW,43615
1992,male,8,NSW,43719
1993,male,8,NSW,43944
1994,male,8,NSW,43974
1995,male,8,NSW,43481
1996,male,8,NSW,44100
1997,male,8,NSW,44595
1998,male,8,NSW,46032
1999,male,8,NSW,46417
2e3,male,8,NSW,46639
2001,male,8,NSW,46624
2002,male,8,NSW,46385
2003,male,8,NSW,45969
2004,male,8,NSW,45145
2005,male,8,NSW,45064
2006,male,8,NSW,44452
2007,male,8,NSW,44641
2008,male,8,NSW,45234
2009,male,8,NSW,45268
2010,male,8,NSW,44645
2011,male,8,NSW,45460
2012,male,8,NSW,45835
2013,male,8,NSW,46881
2014,male,8,NSW,48345
2015,male,8,NSW,50066
2016,male,8,NSW,50916
2017,male,8,NSW,51167
1971,male,9,NSW,47069
1972,male,9,NSW,45740
1973,male,9,NSW,45152
1974,male,9,NSW,42365
1975,male,9,NSW,42205
1976,male,9,NSW,42223
1977,male,9,NSW,41917
1978,male,9,NSW,43965
1979,male,9,NSW,44613
1980,male,9,NSW,48609
1981,male,9,NSW,48798
1982,male,9,NSW,46416
1983,male,9,NSW,44713
1984,male,9,NSW,43258
1985,male,9,NSW,41567
1986,male,9,NSW,41098
1987,male,9,NSW,41115
1988,male,9,NSW,41455
1989,male,9,NSW,42159
1990,male,9,NSW,43570
1991,male,9,NSW,43329
1992,male,9,NSW,43907
1993,male,9,NSW,43727
1994,male,9,NSW,43985
1995,male,9,NSW,44096
1996,male,9,NSW,43724
1997,male,9,NSW,44353
1998,male,9,NSW,44741
1999,male,9,NSW,46295
2e3,male,9,NSW,46704
2001,male,9,NSW,47111
2002,male,9,NSW,46628
2003,male,9,NSW,46228
2004,male,9,NSW,45963
2005,male,9,NSW,45177
2006,male,9,NSW,45099
2007,male,9,NSW,44715
2008,male,9,NSW,44910
2009,male,9,NSW,45405
2010,male,9,NSW,45492
2011,male,9,NSW,44887
2012,male,9,NSW,45536
2013,male,9,NSW,45944
2014,male,9,NSW,47013
2015,male,9,NSW,48498
2016,male,9,NSW,50546
2017,male,9,NSW,51198
1971,male,10,NSW,46596
1972,male,10,NSW,47224
1973,male,10,NSW,45726
1974,male,10,NSW,45330
1975,male,10,NSW,42299
1976,male,10,NSW,41916
1977,male,10,NSW,42392
1978,male,10,NSW,42028
1979,male,10,NSW,44240
1980,male,10,NSW,44802
1981,male,10,NSW,48773
1982,male,10,NSW,48981
1983,male,10,NSW,46511
1984,male,10,NSW,44756
1985,male,10,NSW,43401
1986,male,10,NSW,41786
1987,male,10,NSW,41436
1988,male,10,NSW,41498
1989,male,10,NSW,41781
1990,male,10,NSW,42233
1991,male,10,NSW,43763
1992,male,10,NSW,43619
1993,male,10,NSW,43929
1994,male,10,NSW,43771
1995,male,10,NSW,44027
1996,male,10,NSW,44337
1997,male,10,NSW,44084
1998,male,10,NSW,44545
1999,male,10,NSW,44991
2e3,male,10,NSW,46493
2001,male,10,NSW,47064
2002,male,10,NSW,47145
2003,male,10,NSW,46533
2004,male,10,NSW,46092
2005,male,10,NSW,45974
2006,male,10,NSW,45180
2007,male,10,NSW,45398
2008,male,10,NSW,44987
2009,male,10,NSW,45173
2010,male,10,NSW,45588
2011,male,10,NSW,45790
2012,male,10,NSW,45045
2013,male,10,NSW,45626
2014,male,10,NSW,46124
2015,male,10,NSW,47078
2016,male,10,NSW,48597
2017,male,10,NSW,50866
1971,male,11,NSW,45066
1972,male,11,NSW,46859
1973,male,11,NSW,47169
1974,male,11,NSW,45745
1975,male,11,NSW,45400
1976,male,11,NSW,42090
1977,male,11,NSW,42128
1978,male,11,NSW,42469
1979,male,11,NSW,42196
1980,male,11,NSW,44547
1981,male,11,NSW,44949
1982,male,11,NSW,49051
1983,male,11,NSW,49124
1984,male,11,NSW,46622
1985,male,11,NSW,44883
1986,male,11,NSW,43590
1987,male,11,NSW,42100
1988,male,11,NSW,41948
1989,male,11,NSW,41703
1990,male,11,NSW,42020
1991,male,11,NSW,42348
1992,male,11,NSW,43785
1993,male,11,NSW,43685
1994,male,11,NSW,44047
1995,male,11,NSW,43905
1996,male,11,NSW,44199
1997,male,11,NSW,44631
1998,male,11,NSW,44359
1999,male,11,NSW,44708
2e3,male,11,NSW,45301
2001,male,11,NSW,46781
2002,male,11,NSW,47035
2003,male,11,NSW,47078
2004,male,11,NSW,46496
2005,male,11,NSW,46113
2006,male,11,NSW,46027
2007,male,11,NSW,45439
2008,male,11,NSW,45586
2009,male,11,NSW,45214
2010,male,11,NSW,45398
2011,male,11,NSW,45764
2012,male,11,NSW,45903
2013,male,11,NSW,45116
2014,male,11,NSW,45838
2015,male,11,NSW,46246
2016,male,11,NSW,47077
2017,male,11,NSW,48806
1971,male,12,NSW,44712
1972,male,12,NSW,45112
1973,male,12,NSW,46972
1974,male,12,NSW,47134
1975,male,12,NSW,45696
1976,male,12,NSW,45433
1977,male,12,NSW,42338
1978,male,12,NSW,42249
1979,male,12,NSW,42611
1980,male,12,NSW,42395
1981,male,12,NSW,44825
1982,male,12,NSW,45105
1983,male,12,NSW,49065
1984,male,12,NSW,49221
1985,male,12,NSW,46814
1986,male,12,NSW,45064
1987,male,12,NSW,43873
1988,male,12,NSW,42436
1989,male,12,NSW,42153
1990,male,12,NSW,41838
1991,male,12,NSW,42236
1992,male,12,NSW,42549
1993,male,12,NSW,43678
1994,male,12,NSW,43808
1995,male,12,NSW,44236
1996,male,12,NSW,44133
1997,male,12,NSW,44513
1998,male,12,NSW,44876
1999,male,12,NSW,44665
2e3,male,12,NSW,44871
2001,male,12,NSW,45639
2002,male,12,NSW,46919
2003,male,12,NSW,47032
2004,male,12,NSW,47043
2005,male,12,NSW,46559
2006,male,12,NSW,46152
2007,male,12,NSW,46249
2008,male,12,NSW,45618
2009,male,12,NSW,45851
2010,male,12,NSW,45470
2011,male,12,NSW,45586
2012,male,12,NSW,45858
2013,male,12,NSW,45988
2014,male,12,NSW,45264
2015,male,12,NSW,45929
2016,male,12,NSW,46390
2017,male,12,NSW,47348
1971,male,13,NSW,43946
1972,male,13,NSW,44838
1973,male,13,NSW,45009
1974,male,13,NSW,47102
1975,male,13,NSW,47137
1976,male,13,NSW,45580
1977,male,13,NSW,45364
1978,male,13,NSW,42521
1979,male,13,NSW,42429
1980,male,13,NSW,42791
1981,male,13,NSW,42569
1982,male,13,NSW,44838
1983,male,13,NSW,45161
1984,male,13,NSW,49103
1985,male,13,NSW,49439
1986,male,13,NSW,47152
1987,male,13,NSW,45337
1988,male,13,NSW,44192
1989,male,13,NSW,42534
1990,male,13,NSW,42385
1991,male,13,NSW,41965
1992,male,13,NSW,42330
1993,male,13,NSW,42581
1994,male,13,NSW,43679
1995,male,13,NSW,43999
1996,male,13,NSW,44479
1997,male,13,NSW,44209
1998,male,13,NSW,44773
1999,male,13,NSW,45120
2e3,male,13,NSW,44902
2001,male,13,NSW,45127
2002,male,13,NSW,45734
2003,male,13,NSW,46961
2004,male,13,NSW,46945
2005,male,13,NSW,47087
2006,male,13,NSW,46544
2007,male,13,NSW,46255
2008,male,13,NSW,46446
2009,male,13,NSW,45879
2010,male,13,NSW,46162
2011,male,13,NSW,45684
2012,male,13,NSW,45703
2013,male,13,NSW,46046
2014,male,13,NSW,46077
2015,male,13,NSW,45348
2016,male,13,NSW,45927
2017,male,13,NSW,46618
1971,male,14,NSW,43043
1972,male,14,NSW,43856
1973,male,14,NSW,44800
1974,male,14,NSW,44906
1975,male,14,NSW,47235
1976,male,14,NSW,47019
1977,male,14,NSW,45651
1978,male,14,NSW,45354
1979,male,14,NSW,42763
1980,male,14,NSW,42673
1981,male,14,NSW,42998
1982,male,14,NSW,42679
1983,male,14,NSW,44651
1984,male,14,NSW,45212
1985,male,14,NSW,49237
1986,male,14,NSW,49727
1987,male,14,NSW,47393
1988,male,14,NSW,45645
1989,male,14,NSW,44439
1990,male,14,NSW,42643
1991,male,14,NSW,42606
1992,male,14,NSW,42044
1993,male,14,NSW,42305
1994,male,14,NSW,42744
1995,male,14,NSW,43757
1996,male,14,NSW,44295
1997,male,14,NSW,44432
1998,male,14,NSW,44328
1999,male,14,NSW,44981
2e3,male,14,NSW,45348
2001,male,14,NSW,45223
2002,male,14,NSW,45161
2003,male,14,NSW,45726
2004,male,14,NSW,46938
2005,male,14,NSW,46896
2006,male,14,NSW,47123
2007,male,14,NSW,46553
2008,male,14,NSW,46283
2009,male,14,NSW,46695
2010,male,14,NSW,46101
2011,male,14,NSW,46411
2012,male,14,NSW,45726
2013,male,14,NSW,45867
2014,male,14,NSW,46203
2015,male,14,NSW,46263
2016,male,14,NSW,45428
2017,male,14,NSW,46207
1971,male,15,NSW,41863
1972,male,15,NSW,42882
1973,male,15,NSW,43654
1974,male,15,NSW,44818
1975,male,15,NSW,44821
1976,male,15,NSW,47296
1977,male,15,NSW,46955
1978,male,15,NSW,45758
1979,male,15,NSW,45407
1980,male,15,NSW,43072
1981,male,15,NSW,43000
1982,male,15,NSW,43016
1983,male,15,NSW,42733
1984,male,15,NSW,44604
1985,male,15,NSW,45427
1986,male,15,NSW,49402
1987,male,15,NSW,49905
1988,male,15,NSW,47683
1989,male,15,NSW,45915
1990,male,15,NSW,44636
1991,male,15,NSW,42829
1992,male,15,NSW,42687
1993,male,15,NSW,42041
1994,male,15,NSW,42401
1995,male,15,NSW,42924
1996,male,15,NSW,43960
1997,male,15,NSW,44165
1998,male,15,NSW,44422
1999,male,15,NSW,44415
2e3,male,15,NSW,45288
2001,male,15,NSW,45765
2002,male,15,NSW,45230
2003,male,15,NSW,45197
2004,male,15,NSW,45746
2005,male,15,NSW,47018
2006,male,15,NSW,46906
2007,male,15,NSW,47036
2008,male,15,NSW,46596
2009,male,15,NSW,46562
2010,male,15,NSW,47029
2011,male,15,NSW,46358
2012,male,15,NSW,46339
2013,male,15,NSW,45857
2014,male,15,NSW,46045
2015,male,15,NSW,46526
2016,male,15,NSW,46601
2017,male,15,NSW,45926
1971,male,16,NSW,40256
1972,male,16,NSW,41964
1973,male,16,NSW,42637
1974,male,16,NSW,43546
1975,male,16,NSW,44791
1976,male,16,NSW,44644
1977,male,16,NSW,47071
1978,male,16,NSW,46918
1979,male,16,NSW,45953
1980,male,16,NSW,45469
1981,male,16,NSW,43477
1982,male,16,NSW,43134
1983,male,16,NSW,42967
1984,male,16,NSW,42855
1985,male,16,NSW,44678
1986,male,16,NSW,45587
1987,male,16,NSW,49765
1988,male,16,NSW,50188
1989,male,16,NSW,47844
1990,male,16,NSW,46184
1991,male,16,NSW,44913
1992,male,16,NSW,42958
1993,male,16,NSW,42590
1994,male,16,NSW,42095
1995,male,16,NSW,42522
1996,male,16,NSW,43217
1997,male,16,NSW,43778
1998,male,16,NSW,43993
1999,male,16,NSW,44366
2e3,male,16,NSW,44556
2001,male,16,NSW,45725
2002,male,16,NSW,45849
2003,male,16,NSW,45169
2004,male,16,NSW,45137
2005,male,16,NSW,45856
2006,male,16,NSW,47196
2007,male,16,NSW,46944
2008,male,16,NSW,47212
2009,male,16,NSW,46798
2010,male,16,NSW,46894
2011,male,16,NSW,47394
2012,male,16,NSW,46500
2013,male,16,NSW,46464
2014,male,16,NSW,46220
2015,male,16,NSW,46428
2016,male,16,NSW,47066
2017,male,16,NSW,47230
1971,male,17,NSW,40652
1972,male,17,NSW,40548
1973,male,17,NSW,41949
1974,male,17,NSW,42372
1975,male,17,NSW,43301
1976,male,17,NSW,44726
1977,male,17,NSW,44809
1978,male,17,NSW,46880
1979,male,17,NSW,47018
1980,male,17,NSW,46204
1981,male,17,NSW,45637
1982,male,17,NSW,43741
1983,male,17,NSW,43161
1984,male,17,NSW,42947
