year,sex,age,location,n
1979,male,95,Qld,59
1980,male,95,Qld,82
1981,male,95,Qld,86
1982,male,95,Qld,78
1983,male,95,Qld,66
1984,male,95,Qld,90
1985,male,95,Qld,80
1986,male,95,Qld,121
1987,male,95,Qld,112
1988,male,95,Qld,100
1989,male,95,Qld,87
1990,male,95,Qld,86
1991,male,95,Qld,104
1992,male,95,Qld,115
1993,male,95,Qld,120
1994,male,95,Qld,112
1995,male,95,Qld,155
1996,male,95,Qld,193
1997,male,95,Qld,166
1998,male,95,Qld,183
1999,male,95,Qld,198
2e3,male,95,Qld,207
2001,male,95,Qld,236
2002,male,95,Qld,230
2003,male,95,Qld,266
2004,male,95,Qld,230
2005,male,95,Qld,274
2006,male,95,Qld,298
2007,male,95,Qld,332
2008,male,95,Qld,345
2009,male,95,Qld,405
2010,male,95,Qld,380
2011,male,95,Qld,390
2012,male,95,Qld,438
2013,male,95,Qld,436
2014,male,95,Qld,465
2015,male,95,Qld,599
2016,male,95,Qld,684
2017,male,95,Qld,711
1971,male,96,Qld,20
1972,male,96,Qld,27
1973,male,96,Qld,22
1974,male,96,Qld,29
1975,male,96,Qld,33
1976,male,96,Qld,29
1977,male,96,Qld,43
1978,male,96,Qld,39
1979,male,96,Qld,33
1980,male,96,Qld,45
1981,male,96,Qld,66
1982,male,96,Qld,66
1983,male,96,Qld,54
1984,male,96,Qld,50
1985,male,96,Qld,72
1986,male,96,Qld,75
1987,male,96,Qld,88
1988,male,96,Qld,85
1989,male,96,Qld,70
1990,male,96,Qld,57
1991,male,96,Qld,62
1992,male,96,Qld,84
1993,male,96,Qld,91
1994,male,96,Qld,91
1995,male,96,Qld,79
1996,male,96,Qld,123
1997,male,96,Qld,147
1998,male,96,Qld,134
1999,male,96,Qld,137
2e3,male,96,Qld,145
2001,male,96,Qld,167
2002,male,96,Qld,169
2003,male,96,Qld,166
2004,male,96,Qld,188
2005,male,96,Qld,162
2006,male,96,Qld,205
2007,male,96,Qld,219
2008,male,96,Qld,232
2009,male,96,Qld,237
2010,male,96,Qld,294
2011,male,96,Qld,269
2012,male,96,Qld,285
2013,male,96,Qld,309
2014,male,96,Qld,320
2015,male,96,Qld,342
2016,male,96,Qld,462
2017,male,96,Qld,542
1971,male,97,Qld,20
1972,male,97,Qld,13
1973,male,97,Qld,23
1974,male,97,Qld,15
1975,male,97,Qld,21
1976,male,97,Qld,27
1977,male,97,Qld,23
1978,male,97,Qld,30
1979,male,97,Qld,31
1980,male,97,Qld,18
1981,male,97,Qld,34
1982,male,97,Qld,50
1983,male,97,Qld,45
1984,male,97,Qld,46
1985,male,97,Qld,36
1986,male,97,Qld,45
1987,male,97,Qld,53
1988,male,97,Qld,65
1989,male,97,Qld,66
1990,male,97,Qld,37
1991,male,97,Qld,36
1992,male,97,Qld,51
1993,male,97,Qld,59
1994,male,97,Qld,74
1995,male,97,Qld,67
1996,male,97,Qld,62
1997,male,97,Qld,87
1998,male,97,Qld,106
1999,male,97,Qld,106
2e3,male,97,Qld,103
2001,male,97,Qld,114
2002,male,97,Qld,127
2003,male,97,Qld,120
2004,male,97,Qld,125
2005,male,97,Qld,138
2006,male,97,Qld,118
2007,male,97,Qld,143
2008,male,97,Qld,148
2009,male,97,Qld,152
2010,male,97,Qld,165
2011,male,97,Qld,217
2012,male,97,Qld,179
2013,male,97,Qld,199
2014,male,97,Qld,230
2015,male,97,Qld,227
2016,male,97,Qld,254
2017,male,97,Qld,362
1971,male,98,Qld,18
1972,male,98,Qld,17
1973,male,98,Qld,8
1974,male,98,Qld,18
1975,male,98,Qld,12
1976,male,98,Qld,13
1977,male,98,Qld,21
1978,male,98,Qld,14
1979,male,98,Qld,20
1980,male,98,Qld,24
1981,male,98,Qld,19
1982,male,98,Qld,18
1983,male,98,Qld,32
1984,male,98,Qld,35
1985,male,98,Qld,36
1986,male,98,Qld,30
1987,male,98,Qld,32
1988,male,98,Qld,38
1989,male,98,Qld,50
1990,male,98,Qld,45
1991,male,98,Qld,27
1992,male,98,Qld,13
1993,male,98,Qld,34
1994,male,98,Qld,37
1995,male,98,Qld,61
1996,male,98,Qld,50
1997,male,98,Qld,45
1998,male,98,Qld,68
1999,male,98,Qld,78
2e3,male,98,Qld,91
2001,male,98,Qld,83
2002,male,98,Qld,69
2003,male,98,Qld,87
2004,male,98,Qld,77
2005,male,98,Qld,87
2006,male,98,Qld,87
2007,male,98,Qld,84
2008,male,98,Qld,96
2009,male,98,Qld,92
2010,male,98,Qld,100
2011,male,98,Qld,112
2012,male,98,Qld,145
2013,male,98,Qld,114
2014,male,98,Qld,151
2015,male,98,Qld,162
2016,male,98,Qld,177
2017,male,98,Qld,193
1971,male,99,Qld,7
1972,male,99,Qld,13
1973,male,99,Qld,14
1974,male,99,Qld,4
1975,male,99,Qld,16
1976,male,99,Qld,8
1977,male,99,Qld,10
1978,male,99,Qld,12
1979,male,99,Qld,11
1980,male,99,Qld,10
1981,male,99,Qld,17
1982,male,99,Qld,10
1983,male,99,Qld,7
1984,male,99,Qld,25
1985,male,99,Qld,32
1986,male,99,Qld,18
1987,male,99,Qld,20
1988,male,99,Qld,22
1989,male,99,Qld,30
1990,male,99,Qld,33
1991,male,99,Qld,25
1992,male,99,Qld,31
1993,male,99,Qld,23
1994,male,99,Qld,31
1995,male,99,Qld,39
1996,male,99,Qld,56
1997,male,99,Qld,35
1998,male,99,Qld,37
1999,male,99,Qld,44
2e3,male,99,Qld,53
2001,male,99,Qld,78
2002,male,99,Qld,51
2003,male,99,Qld,43
2004,male,99,Qld,58
2005,male,99,Qld,53
2006,male,99,Qld,57
2007,male,99,Qld,64
2008,male,99,Qld,55
2009,male,99,Qld,54
2010,male,99,Qld,59
2011,male,99,Qld,67
2012,male,99,Qld,75
2013,male,99,Qld,92
2014,male,99,Qld,81
2015,male,99,Qld,105
2016,male,99,Qld,118
2017,male,99,Qld,131
1971,male,100,Qld,7
1972,male,100,Qld,8
1973,male,100,Qld,12
1974,male,100,Qld,13
1975,male,100,Qld,6
1976,male,100,Qld,11
1977,male,100,Qld,13
1978,male,100,Qld,13
1979,male,100,Qld,13
1980,male,100,Qld,16
1981,male,100,Qld,14
1982,male,100,Qld,20
1983,male,100,Qld,21
1984,male,100,Qld,16
1985,male,100,Qld,24
1986,male,100,Qld,23
1987,male,100,Qld,27
1988,male,100,Qld,33
1989,male,100,Qld,39
1990,male,100,Qld,43
1991,male,100,Qld,42
1992,male,100,Qld,28
1993,male,100,Qld,21
1994,male,100,Qld,29
1995,male,100,Qld,35
1996,male,100,Qld,53
1997,male,100,Qld,70
1998,male,100,Qld,68
1999,male,100,Qld,71
2e3,male,100,Qld,79
2001,male,100,Qld,92
2002,male,100,Qld,109
2003,male,100,Qld,99
2004,male,100,Qld,89
2005,male,100,Qld,88
2006,male,100,Qld,86
2007,male,100,Qld,97
2008,male,100,Qld,103
2009,male,100,Qld,96
2010,male,100,Qld,88
2011,male,100,Qld,89
2012,male,100,Qld,103
2013,male,100,Qld,115
2014,male,100,Qld,129
2015,male,100,Qld,138
2016,male,100,Qld,157
2017,male,100,Qld,199
1971,female,0,Qld,18378
1972,female,0,Qld,19380
1973,female,0,Qld,18819
1974,female,0,Qld,18266
1975,female,0,Qld,17834
1976,female,0,Qld,17437
1977,female,0,Qld,17112
1978,female,0,Qld,17051
1979,female,0,Qld,17016
1980,female,0,Qld,16996
1981,female,0,Qld,18357
1982,female,0,Qld,19166
1983,female,0,Qld,20181
1984,female,0,Qld,19594
1985,female,0,Qld,19517
1986,female,0,Qld,19360
1987,female,0,Qld,19415
1988,female,0,Qld,19389
1989,female,0,Qld,20255
1990,female,0,Qld,21583
1991,female,0,Qld,22061
1992,female,0,Qld,22280
1993,female,0,Qld,22310
1994,female,0,Qld,22817
1995,female,0,Qld,22877
1996,female,0,Qld,23178
1997,female,0,Qld,23086
1998,female,0,Qld,22994
1999,female,0,Qld,22931
2e3,female,0,Qld,23042
2001,female,0,Qld,23699
2002,female,0,Qld,23509
2003,female,0,Qld,23490
2004,female,0,Qld,24327
2005,female,0,Qld,25244
2006,female,0,Qld,26252
2007,female,0,Qld,27928
2008,female,0,Qld,29613
2009,female,0,Qld,30134
2010,female,0,Qld,30003
2011,female,0,Qld,29495
2012,female,0,Qld,30815
2013,female,0,Qld,30744
2014,female,0,Qld,30567
2015,female,0,Qld,30368
2016,female,0,Qld,30529
2017,female,0,Qld,30034
1971,female,1,Qld,17975
1972,female,1,Qld,18669
1973,female,1,Qld,19785
1974,female,1,Qld,19234
1975,female,1,Qld,18583
1976,female,1,Qld,17876
1977,female,1,Qld,17558
1978,female,1,Qld,17388
1979,female,1,Qld,17308
1980,female,1,Qld,17264
1981,female,1,Qld,17746
1982,female,1,Qld,18756
1983,female,1,Qld,19434
1984,female,1,Qld,20283
1985,female,1,Qld,19728
1986,female,1,Qld,19783
1987,female,1,Qld,19648
1988,female,1,Qld,19772
1989,female,1,Qld,19976
1990,female,1,Qld,20642
1991,female,1,Qld,21784
1992,female,1,Qld,22259
1993,female,1,Qld,22572
1994,female,1,Qld,22582
1995,female,1,Qld,23116
1996,female,1,Qld,23111
1997,female,1,Qld,23309
1998,female,1,Qld,23286
1999,female,1,Qld,23148
2e3,female,1,Qld,23136
2001,female,1,Qld,23304
2002,female,1,Qld,24088
2003,female,1,Qld,23991
2004,female,1,Qld,23986
2005,female,1,Qld,24803
2006,female,1,Qld,25596
2007,female,1,Qld,27029
2008,female,1,Qld,28262
2009,female,1,Qld,29698
2010,female,1,Qld,29895
2011,female,1,Qld,29647
2012,female,1,Qld,30105
2013,female,1,Qld,31035
2014,female,1,Qld,30891
2015,female,1,Qld,30617
2016,female,1,Qld,30532
2017,female,1,Qld,30777
1971,female,2,Qld,17982
1972,female,2,Qld,18349
1973,female,2,Qld,19122
1974,female,2,Qld,20287
1975,female,2,Qld,19582
1976,female,2,Qld,18941
1977,female,2,Qld,18106
1978,female,2,Qld,17759
1979,female,2,Qld,17678
1980,female,2,Qld,17589
1981,female,2,Qld,17842
1982,female,2,Qld,18302
1983,female,2,Qld,19035
1984,female,2,Qld,19575
1985,female,2,Qld,20435
1986,female,2,Qld,19939
1987,female,2,Qld,20120
1988,female,2,Qld,20139
1989,female,2,Qld,20349
1990,female,2,Qld,20523
1991,female,2,Qld,21084
1992,female,2,Qld,22126
1993,female,2,Qld,22722
1994,female,2,Qld,22996
1995,female,2,Qld,23028
1996,female,2,Qld,23511
1997,female,2,Qld,23429
1998,female,2,Qld,23581
1999,female,2,Qld,23532
2e3,female,2,Qld,23431
2001,female,2,Qld,23552
2002,female,2,Qld,23790
2003,female,2,Qld,24726
2004,female,2,Qld,24513
2005,female,2,Qld,24512
2006,female,2,Qld,25357
2007,female,2,Qld,26352
2008,female,2,Qld,27781
2009,female,2,Qld,28671
2010,female,2,Qld,29629
2011,female,2,Qld,29926
2012,female,2,Qld,30463
2013,female,2,Qld,30726
2014,female,2,Qld,31210
2015,female,2,Qld,31166
2016,female,2,Qld,30761
2017,female,2,Qld,30897
1971,female,3,Qld,17511
1972,female,3,Qld,18172
1973,female,3,Qld,18844
1974,female,3,Qld,19654
1975,female,3,Qld,20681
1976,female,3,Qld,19898
1977,female,3,Qld,19064
1978,female,3,Qld,18406
1979,female,3,Qld,17983
1980,female,3,Qld,17965
1981,female,3,Qld,18195
1982,female,3,Qld,18407
1983,female,3,Qld,18576
1984,female,3,Qld,19187
1985,female,3,Qld,19786
1986,female,3,Qld,20557
1987,female,3,Qld,20274
1988,female,3,Qld,20605
1989,female,3,Qld,20705
1990,female,3,Qld,20729
1991,female,3,Qld,20951
1992,female,3,Qld,21489
1993,female,3,Qld,22598
1994,female,3,Qld,23214
1995,female,3,Qld,23475
1996,female,3,Qld,23458
1997,female,3,Qld,23725
1998,female,3,Qld,23798
1999,female,3,Qld,23878
2e3,female,3,Qld,23872
2001,female,3,Qld,23808
2002,female,3,Qld,23953
2003,female,3,Qld,24370
2004,female,3,Qld,25305
2005,female,3,Qld,25086
2006,female,3,Qld,25018
2007,female,3,Qld,26088
2008,female,3,Qld,27157
2009,female,3,Qld,28549
2010,female,3,Qld,28893
2011,female,3,Qld,29747
2012,female,3,Qld,30581
2013,female,3,Qld,31046
2014,female,3,Qld,31095
2015,female,3,Qld,31377
2016,female,3,Qld,31461
2017,female,3,Qld,31187
1971,female,4,Qld,17128
1972,female,4,Qld,17628
1973,female,4,Qld,18465
1974,female,4,Qld,19388
1975,female,4,Qld,19979
1976,female,4,Qld,21080
1977,female,4,Qld,20088
1978,female,4,Qld,19225
1979,female,4,Qld,18693
1980,female,4,Qld,18181
1981,female,4,Qld,18599
1982,female,4,Qld,18789
1983,female,4,Qld,18704
1984,female,4,Qld,18733
1985,female,4,Qld,19369
1986,female,4,Qld,19949
1987,female,4,Qld,20844
1988,female,4,Qld,20686
1989,female,4,Qld,21173
1990,female,4,Qld,21144
1991,female,4,Qld,21019
1992,female,4,Qld,21317
1993,female,4,Qld,21952
1994,female,4,Qld,23021
1995,female,4,Qld,23638
1996,female,4,Qld,23848
1997,female,4,Qld,23783
1998,female,4,Qld,23986
1999,female,4,Qld,24180
2e3,female,4,Qld,24303
2001,female,4,Qld,24225
2002,female,4,Qld,24353
2003,female,4,Qld,24504
2004,female,4,Qld,24949
2005,female,4,Qld,25854
2006,female,4,Qld,25679
2007,female,4,Qld,25633
2008,female,4,Qld,26774
2009,female,4,Qld,27893
2010,female,4,Qld,29035
2011,female,4,Qld,29124
2012,female,4,Qld,30406
2013,female,4,Qld,31069
2014,female,4,Qld,31566
2015,female,4,Qld,31548
2016,female,4,Qld,31656
2017,female,4,Qld,31928
1971,female,5,Qld,16738
1972,female,5,Qld,17358
1973,female,5,Qld,17839
1974,female,5,Qld,18777
1975,female,5,Qld,19780
1976,female,5,Qld,20357
1977,female,5,Qld,21238
1978,female,5,Qld,20312
1979,female,5,Qld,19396
1980,female,5,Qld,18991
1981,female,5,Qld,18750
1982,female,5,Qld,19098
1983,female,5,Qld,19156
1984,female,5,Qld,18828
1985,female,5,Qld,18953
1986,female,5,Qld,19528
1987,female,5,Qld,20272
1988,female,5,Qld,21258
1989,female,5,Qld,21284
1990,female,5,Qld,21628
1991,female,5,Qld,21556
1992,female,5,Qld,21391
1993,female,5,Qld,21754
1994,female,5,Qld,22343
1995,female,5,Qld,23422
1996,female,5,Qld,24046
1997,female,5,Qld,24211
1998,female,5,Qld,24107
1999,female,5,Qld,24333
2e3,female,5,Qld,24646
2001,female,5,Qld,24666
2002,female,5,Qld,24753
2003,female,5,Qld,24944
2004,female,5,Qld,25051
2005,female,5,Qld,25509
2006,female,5,Qld,26415
2007,female,5,Qld,26283
2008,female,5,Qld,26219
2009,female,5,Qld,27469
2010,female,5,Qld,28331
2011,female,5,Qld,29639
2012,female,5,Qld,29832
2013,female,5,Qld,30896
2014,female,5,Qld,31532
2015,female,5,Qld,32048
2016,female,5,Qld,32079
2017,female,5,Qld,32111
1971,female,6,Qld,17299
1972,female,6,Qld,16973
1973,female,6,Qld,17666
1974,female,6,Qld,18081
1975,female,6,Qld,18996
1976,female,6,Qld,20163
1977,female,6,Qld,20713
1978,female,6,Qld,21419
1979,female,6,Qld,20515
1980,female,6,Qld,19628
1981,female,6,Qld,19654
1982,female,6,Qld,19270
1983,female,6,Qld,19420
1984,female,6,Qld,19284
1985,female,6,Qld,18993
1986,female,6,Qld,19141
1987,female,6,Qld,19839
1988,female,6,Qld,20666
1989,female,6,Qld,21832
1990,female,6,Qld,21692
1991,female,6,Qld,21997
1992,female,6,Qld,21897
1993,female,6,Qld,21849
1994,female,6,Qld,22185
1995,female,6,Qld,22791
1996,female,6,Qld,23814
1997,female,6,Qld,24326
1998,female,6,Qld,24649
1999,female,6,Qld,24461
2e3,female,6,Qld,24657
2001,female,6,Qld,25113
2002,female,6,Qld,25159
2003,female,6,Qld,25273
2004,female,6,Qld,25496
2005,female,6,Qld,25560
2006,female,6,Qld,26047
2007,female,6,Qld,26948
2008,female,6,Qld,26883
2009,female,6,Qld,26861
2010,female,6,Qld,27935
2011,female,6,Qld,28878
2012,female,6,Qld,30176
2013,female,6,Qld,30451
2014,female,6,Qld,31412
2015,female,6,Qld,31890
2016,female,6,Qld,32583
2017,female,6,Qld,32511
1971,female,7,Qld,18263
1972,female,7,Qld,17480
1973,female,7,Qld,17302
1974,female,7,Qld,17996
1975,female,7,Qld,18225
1976,female,7,Qld,19178
1977,female,7,Qld,20305
1978,female,7,Qld,21100
1979,female,7,Qld,21618
1980,female,7,Qld,20768
1981,female,7,Qld,20182
1982,female,7,Qld,20204
1983,female,7,Qld,19592
1984,female,7,Qld,19519
1985,female,7,Qld,19478
1986,female,7,Qld,19198
1987,female,7,Qld,19465
1988,female,7,Qld,20301
1989,female,7,Qld,21189
1990,female,7,Qld,22284
1991,female,7,Qld,22080
1992,female,7,Qld,22340
1993,female,7,Qld,22348
1994,female,7,Qld,22256
1995,female,7,Qld,22623
1996,female,7,Qld,23178
1997,female,7,Qld,24106
1998,female,7,Qld,24693
1999,female,7,Qld,25021
2e3,female,7,Qld,24841
2001,female,7,Qld,25057
2002,female,7,Qld,25670
2003,female,7,Qld,25666
2004,female,7,Qld,25723
2005,female,7,Qld,26011
2006,female,7,Qld,26058
2007,female,7,Qld,26587
2008,female,7,Qld,27500
2009,female,7,Qld,27421
2010,female,7,Qld,27286
2011,female,7,Qld,28375
2012,female,7,Qld,29312
2013,female,7,Qld,30590
2014,female,7,Qld,31001
2015,female,7,Qld,31840
2016,female,7,Qld,32273
2017,female,7,Qld,33010
1971,female,8,Qld,18470
1972,female,8,Qld,18540
1973,female,8,Qld,17741
1974,female,8,Qld,17643
1975,female,8,Qld,18197
1976,female,8,Qld,18298
1977,female,8,Qld,19449
1978,female,8,Qld,20462
1979,female,8,Qld,21497
1980,female,8,Qld,21842
1981,female,8,Qld,21356
1982,female,8,Qld,20779
1983,female,8,Qld,20531
1984,female,8,Qld,19700
1985,female,8,Qld,19715
1986,female,8,Qld,19696
1987,female,8,Qld,19563
1988,female,8,Qld,19924
1989,female,8,Qld,20904
1990,female,8,Qld,21620
1991,female,8,Qld,22673
1992,female,8,Qld,22473
1993,female,8,Qld,22765
1994,female,8,Qld,22732
1995,female,8,Qld,22647
1996,female,8,Qld,22996
1997,female,8,Qld,23536
1998,female,8,Qld,24385
1999,female,8,Qld,24971
2e3,female,8,Qld,25465
2001,female,8,Qld,25231
2002,female,8,Qld,25542
2003,female,8,Qld,26167
2004,female,8,Qld,26175
2005,female,8,Qld,26292
2006,female,8,Qld,26586
2007,female,8,Qld,26647
2008,female,8,Qld,27158
2009,female,8,Qld,27983
2010,female,8,Qld,27819
2011,female,8,Qld,27703
2012,female,8,Qld,28742
2013,female,8,Qld,29621
2014,female,8,Qld,30798
2015,female,8,Qld,31410
2016,female,8,Qld,32268
2017,female,8,Qld,32677
1971,female,9,Qld,19003
1972,female,9,Qld,18646
1973,female,9,Qld,18888
1974,female,9,Qld,18032
1975,female,9,Qld,17900
1976,female,9,Qld,18415
1977,female,9,Qld,18632
1978,female,9,Qld,19775
1979,female,9,Qld,20621
1980,female,9,Qld,21943
1981,female,9,Qld,22397
1982,female,9,Qld,21965
1983,female,9,Qld,21201
1984,female,9,Qld,20689
1985,female,9,Qld,19931
1986,female,9,Qld,19944
1987,female,9,Qld,19993
1988,female,9,Qld,20089
1989,female,9,Qld,20518
1990,female,9,Qld,21385
1991,female,9,Qld,21952
1992,female,9,Qld,23074
1993,female,9,Qld,22921
1994,female,9,Qld,23167
1995,female,9,Qld,23146
1996,female,9,Qld,23039
1997,female,9,Qld,23283
1998,female,9,Qld,23888
1999,female,9,Qld,24645
2e3,female,9,Qld,25353
2001,female,9,Qld,25922
2002,female,9,Qld,25756
2003,female,9,Qld,26111
2004,female,9,Qld,26716
2005,female,9,Qld,26630
2006,female,9,Qld,26830
2007,female,9,Qld,27092
2008,female,9,Qld,27231
2009,female,9,Qld,27652
2010,female,9,Qld,28346
2011,female,9,Qld,28252
2012,female,9,Qld,28149
2013,female,9,Qld,29091
2014,female,9,Qld,29795
2015,female,9,Qld,30951
2016,female,9,Qld,31878
2017,female,9,Qld,32673
1971,female,10,Qld,18699
1972,female,10,Qld,19195
1973,female,10,Qld,18892
1974,female,10,Qld,19250
1975,female,10,Qld,18226
1976,female,10,Qld,18112
1977,female,10,Qld,18628
1978,female,10,Qld,18981
1979,female,10,Qld,20102
1980,female,10,Qld,20825
1981,female,10,Qld,22675
1982,female,10,Qld,22954
1983,female,10,Qld,22335
1984,female,10,Qld,21383
1985,female,10,Qld,20879
1986,female,10,Qld,20164
1987,female,10,Qld,20232
1988,female,10,Qld,20424
1989,female,10,Qld,20717
1990,female,10,Qld,20965
1991,female,10,Qld,21784
1992,female,10,Qld,22320
1993,female,10,Qld,23533
1994,female,10,Qld,23289
1995,female,10,Qld,23498
1996,female,10,Qld,23492
1997,female,10,Qld,23312
1998,female,10,Qld,23656
1999,female,10,Qld,24240
2e3,female,10,Qld,24947
2001,female,10,Qld,25683
2002,female,10,Qld,26441
2003,female,10,Qld,26356
2004,female,10,Qld,26601
2005,female,10,Qld,27257
2006,female,10,Qld,27103
2007,female,10,Qld,27379
2008,female,10,Qld,27684
2009,female,10,Qld,27786
2010,female,10,Qld,27976
2011,female,10,Qld,28742
2012,female,10,Qld,28596
2013,female,10,Qld,28457
2014,female,10,Qld,29300
2015,female,10,Qld,29911
2016,female,10,Qld,31248
2017,female,10,Qld,32225
1971,female,11,Qld,18177
1972,female,11,Qld,18921
1973,female,11,Qld,19444
1974,female,11,Qld,19136
1975,female,11,Qld,19566
1976,female,11,Qld,18388
1977,female,11,Qld,18365
1978,female,11,Qld,18870
1979,female,11,Qld,19340
1980,female,11,Qld,20425
1981,female,11,Qld,21308
1982,female,11,Qld,23274
1983,female,11,Qld,23347
1984,female,11,Qld,22578
1985,female,11,Qld,21675
1986,female,11,Qld,21145
1987,female,11,Qld,20542
1988,female,11,Qld,20688
1989,female,11,Qld,20986
1990,female,11,Qld,21198
1991,female,11,Qld,21307
1992,female,11,Qld,22070
1993,female,11,Qld,22705
1994,female,11,Qld,23907
1995,female,11,Qld,23670
1996,female,11,Qld,23786
1997,female,11,Qld,23727
1998,female,11,Qld,23614
1999,female,11,Qld,23934
2e3,female,11,Qld,24638
2001,female,11,Qld,25283
2002,female,11,Qld,26164
2003,female,11,Qld,26933
2004,female,11,Qld,26872
2005,female,11,Qld,27099
2006,female,11,Qld,27751
2007,female,11,Qld,27570
2008,female,11,Qld,27938
2009,female,11,Qld,28219
2010,female,11,Qld,28174
2011,female,11,Qld,28287
2012,female,11,Qld,29132
2013,female,11,Qld,28877
2014,female,11,Qld,28694
2015,female,11,Qld,29451
2016,female,11,Qld,30035
2017,female,11,Qld,31595
1971,female,12,Qld,18291
1972,female,12,Qld,18445
1973,female,12,Qld,19179
1974,female,12,Qld,19692
1975,female,12,Qld,19331
1976,female,12,Qld,19794
1977,female,12,Qld,18669
1978,female,12,Qld,18652
1979,female,12,Qld,19063
1980,female,12,Qld,19739
1981,female,12,Qld,21030
1982,female,12,Qld,21861
1983,female,12,Qld,23633
1984,female,12,Qld,23553
1985,female,12,Qld,22869
1986,female,12,Qld,21985
1987,female,12,Qld,21489
1988,female,12,Qld,21032
1989,female,12,Qld,21258
1990,female,12,Qld,21457
1991,female,12,Qld,21614
1992,female,12,Qld,21657
1993,female,12,Qld,22441
1994,female,12,Qld,23048
1995,female,12,Qld,24330
1996,female,12,Qld,24054
1997,female,12,Qld,24075
1998,female,12,Qld,23981
1999,female,12,Qld,23936
2e3,female,12,Qld,24307
2001,female,12,Qld,25054
2002,female,12,Qld,25749
2003,female,12,Qld,26740
2004,female,12,Qld,27440
2005,female,12,Qld,27341
2006,female,12,Qld,27564
2007,female,12,Qld,28241
2008,female,12,Qld,28037
2009,female,12,Qld,28432
2010,female,12,Qld,28550
2011,female,12,Qld,28540
2012,female,12,Qld,28650
2013,female,12,Qld,29422
2014,female,12,Qld,28991
2015,female,12,Qld,28864
2016,female,12,Qld,29602
2017,female,12,Qld,30340
1971,female,13,Qld,17911
1972,female,13,Qld,18481
1973,female,13,Qld,18742
1974,female,13,Qld,19456
1975,female,13,Qld,19828
1976,female,13,Qld,19462
1977,female,13,Qld,19974
1978,female,13,Qld,18961
1979,female,13,Qld,18903
1980,female,13,Qld,19354
1981,female,13,Qld,20342
1982,female,13,Qld,21483
1983,female,13,Qld,22198
1984,female,13,Qld,23817
1985,female,13,Qld,23790
1986,female,13,Qld,23165
1987,female,13,Qld,22293
1988,female,13,Qld,21980
1989,female,13,Qld,21682
1990,female,13,Qld,21729
1991,female,13,Qld,21818
1992,female,13,Qld,21905
1993,female,13,Qld,22097
1994,female,13,Qld,22805
1995,female,13,Qld,23478
1996,female,13,Qld,24760
1997,female,13,Qld,24210
1998,female,13,Qld,24335
1999,female,13,Qld,24272
2e3,female,13,Qld,24316
2001,female,13,Qld,24616
2002,female,13,Qld,25459
2003,female,13,Qld,26230
2004,female,13,Qld,27229
2005,female,13,Qld,27920
2006,female,13,Qld,27721
2007,female,13,Qld,27948
2008,female,13,Qld,28685
2009,female,13,Qld,28481
2010,female,13,Qld,28722
2011,female,13,Qld,28847
2012,female,13,Qld,28797
2013,female,13,Qld,28909
2014,female,13,Qld,29640
2015,female,13,Qld,29191
2016,female,13,Qld,29035
2017,female,13,Qld,29917
1971,female,14,Qld,17317
1972,female,14,Qld,18028
1973,female,14,Qld,18690
1974,female,14,Qld,19040
1975,female,14,Qld,19618
1976,female,14,Qld,19933
1977,female,14,Qld,19750
1978,female,14,Qld,20175
1979,female,14,Qld,19257
1980,female,14,Qld,19205
1981,female,14,Qld,19805
1982,female,14,Qld,20779
1983,female,14,Qld,21801
1984,female,14,Qld,22439
1985,female,14,Qld,24021
1986,female,14,Qld,24003
1987,female,14,Qld,23417
1988,female,14,Qld,22759
1989,female,14,Qld,22586
1990,female,14,Qld,22196
1991,female,14,Qld,22109
1992,female,14,Qld,22108
1993,female,14,Qld,22225
1994,female,14,Qld,22474
1995,female,14,Qld,23187
1996,female,14,Qld,23825
1997,female,14,Qld,24908
1998,female,14,Qld,24363
1999,female,14,Qld,24574
2e3,female,14,Qld,24590
2001,female,14,Qld,24623
2002,female,14,Qld,24998
2003,female,14,Qld,25794
2004,female,14,Qld,26640
2005,female,14,Qld,27589
2006,female,14,Qld,28301
2007,female,14,Qld,28046
2008,female,14,Qld,28348
2009,female,14,Qld,29063
2010,female,14,Qld,28753
2011,female,14,Qld,29049
2012,female,14,Qld,29117
2013,female,14,Qld,28977
2014,female,14,Qld,29195
2015,female,14,Qld,29840
2016,female,14,Qld,29324
2017,female,14,Qld,29336
1971,female,15,Qld,17055
1972,female,15,Qld,17408
1973,female,15,Qld,18155
1974,female,15,Qld,18884
1975,female,15,Qld,19247
1976,female,15,Qld,19723
1977,female,15,Qld,20159
1978,female,15,Qld,20032
1979,female,15,Qld,20319
1980,female,15,Qld,19586
1981,female,15,Qld,19639
1982,female,15,Qld,20179
1983,female,15,Qld,20988
1984,female,15,Qld,21855
1985,female,15,Qld,22611
1986,female,15,Qld,24288
1987,female,15,Qld,24228
1988,female,15,Qld,23802
1989,female,15,Qld,23303
1990,female,15,Qld,23036
1991,female,15,Qld,22615
1992,female,15,Qld,22407
1993,female,15,Qld,22465
1994,female,15,Qld,22500
1995,female,15,Qld,22884
1996,female,15,Qld,23510
1997,female,15,Qld,24064
1998,female,15,Qld,25066
1999,female,15,Qld,24534
2e3,female,15,Qld,24817
2001,female,15,Qld,24883
2002,female,15,Qld,25018
2003,female,15,Qld,25259
2004,female,15,Qld,26015
2005,female,15,Qld,27031
2006,female,15,Qld,27924
2007,female,15,Qld,28688
2008,female,15,Qld,28396
