nature,intent,drug,sex,state,age_group,n,year,pop
Underlying,Accidental,Amphetamines,All,AUS,15-54,17,2004,11317387
Underlying,Accidental,Amphetamines,All,AUS,15-64,17,2004,13399641
Underlying,Accidental,Amphetamines,All,AUS,Allages,17,2004,19932722
Underlying,Accidental,Amphetamines,All,AUS,15-24,1,2005,2794180
Underlying,Accidental,Amphetamines,All,AUS,25-34,12,2005,2853071
Underlying,Accidental,Amphetamines,All,AUS,35-44,7,2005,2996044
Underlying,Accidental,Amphetamines,All,AUS,45-54,5,2005,2776548
Underlying,Accidental,Amphetamines,All,AUS,55-64,0,2005,2161731
Underlying,Accidental,Amphetamines,All,AUS,65-74,4,2005,1373971
Underlying,Accidental,Amphetamines,All,AUS,75-84,0,2005,935717
Underlying,Accidental,Amphetamines,All,AUS,15-54,26,2005,11419843
Underlying,Accidental,Amphetamines,All,AUS,15-64,26,2005,13581574
Underlying,Accidental,Amphetamines,All,AUS,Allages,27,2005,20176844
Underlying,Accidental,Amphetamines,All,AUS,15-24,3,2006,2841117
Underlying,Accidental,Amphetamines,All,AUS,25-34,9,2006,2855732
Underlying,Accidental,Amphetamines,All,AUS,35-44,5,2006,3025272
Underlying,Accidental,Amphetamines,All,AUS,45-54,1,2006,2825567
Underlying,Accidental,Amphetamines,All,AUS,55-64,0,2006,2236827
Underlying,Accidental,Amphetamines,All,AUS,65-74,0,2006,1397253
Underlying,Accidental,Amphetamines,All,AUS,75-84,0,2006,948119
Underlying,Accidental,Amphetamines,All,AUS,15-54,21,2006,11547688
Underlying,Accidental,Amphetamines,All,AUS,15-64,21,2006,13784515
Underlying,Accidental,Amphetamines,All,AUS,Allages,21,2006,20450966
Underlying,Accidental,Amphetamines,All,AUS,15-24,9,2007,2903862
Underlying,Accidental,Amphetamines,All,AUS,25-34,5,2007,2888102
Underlying,Accidental,Amphetamines,All,AUS,35-44,8,2007,3059917
Underlying,Accidental,Amphetamines,All,AUS,45-54,4,2007,2882908
Underlying,Accidental,Amphetamines,All,AUS,55-64,0,2007,2309362
Underlying,Accidental,Amphetamines,All,AUS,65-74,0,2007,1440885
Underlying,Accidental,Amphetamines,All,AUS,75-84,0,2007,958589
Underlying,Accidental,Amphetamines,All,AUS,15-54,25,2007,11734789
Underlying,Accidental,Amphetamines,All,AUS,15-64,25,2007,14044151
Underlying,Accidental,Amphetamines,All,AUS,Allages,25,2007,20827622
Underlying,Accidental,Amphetamines,All,AUS,15-24,5,2008,2973974
Underlying,Accidental,Amphetamines,All,AUS,25-34,8,2008,2958352
Underlying,Accidental,Amphetamines,All,AUS,35-44,2,2008,3088962
Underlying,Accidental,Amphetamines,All,AUS,45-54,1,2008,2935638
Underlying,Accidental,Amphetamines,All,AUS,55-64,3,2008,2386210
Underlying,Accidental,Amphetamines,All,AUS,65-74,0,2008,1485037
Underlying,Accidental,Amphetamines,All,AUS,75-84,0,2008,967574
Underlying,Accidental,Amphetamines,All,AUS,15-54,19,2008,11956926
Underlying,Accidental,Amphetamines,All,AUS,15-64,20,2008,14343136
Underlying,Accidental,Amphetamines,All,AUS,Allages,20,2008,21249199
Underlying,Accidental,Amphetamines,All,AUS,15-24,2,2009,3043814
Underlying,Accidental,Amphetamines,All,AUS,25-34,6,2009,3053686
Underlying,Accidental,Amphetamines,All,AUS,35-44,7,2009,3116343
Underlying,Accidental,Amphetamines,All,AUS,45-54,3,2009,2984512
Underlying,Accidental,Amphetamines,All,AUS,55-64,0,2009,2444692
Underlying,Accidental,Amphetamines,All,AUS,65-74,0,2009,1546161
Underlying,Accidental,Amphetamines,All,AUS,75-84,0,2009,976176
Underlying,Accidental,Amphetamines,All,AUS,15-54,19,2009,12198355
Underlying,Accidental,Amphetamines,All,AUS,15-64,19,2009,14643047
Underlying,Accidental,Amphetamines,All,AUS,Allages,19,2009,21691653
Underlying,Accidental,Amphetamines,All,AUS,15-24,1,2010,3065102
Underlying,Accidental,Amphetamines,All,AUS,25-34,6,2010,3125453
Underlying,Accidental,Amphetamines,All,AUS,35-44,5,2010,3137648
Underlying,Accidental,Amphetamines,All,AUS,45-54,2,2010,3015387
Underlying,Accidental,Amphetamines,All,AUS,55-64,1,2010,2502787
Underlying,Accidental,Amphetamines,All,AUS,65-74,0,2010,1613289
Underlying,Accidental,Amphetamines,All,AUS,75-84,0,2010,986792
Underlying,Accidental,Amphetamines,All,AUS,15-54,18,2010,12343590
Underlying,Accidental,Amphetamines,All,AUS,15-64,19,2010,14846377
Underlying,Accidental,Amphetamines,All,AUS,Allages,19,2010,22031750
Underlying,Accidental,Amphetamines,All,AUS,15-24,3,2011,3065122
Underlying,Accidental,Amphetamines,All,AUS,25-34,8,2011,3194331
Underlying,Accidental,Amphetamines,All,AUS,35-44,6,2011,3161154
Underlying,Accidental,Amphetamines,All,AUS,45-54,2,2011,3035900
Underlying,Accidental,Amphetamines,All,AUS,55-64,3,2011,2561993
Underlying,Accidental,Amphetamines,All,AUS,65-74,2,2011,1681931
Underlying,Accidental,Amphetamines,All,AUS,75-84,0,2011,1002373
Underlying,Accidental,Amphetamines,All,AUS,15-54,19,2011,12456507
Underlying,Accidental,Amphetamines,All,AUS,15-64,20,2011,15018500
Underlying,Accidental,Amphetamines,All,AUS,Allages,21,2011,22340024
