nature,intent,drug,sex,state,age_group,n,year,pop
Underlying,All,Opioids,All,AUS,35-44,298,2013,3214188
Underlying,All,Opioids,All,AUS,45-54,207,2013,3080735
Underlying,All,Opioids,All,AUS,55-64,83,2013,2634301
Underlying,All,Opioids,All,AUS,65-74,32,2013,1859229
Underlying,All,Opioids,All,AUS,75-84,11,2013,1034415
Underlying,All,Opioids,All,AUS,15-54,744,2013,12801459
Underlying,All,Opioids,All,AUS,15-64,827,2013,15435760
Underlying,All,Opioids,All,AUS,Allages,876,2013,23145901
Underlying,All,Opioids,All,AUS,15-24,45,2014,3141184
Underlying,All,Opioids,All,AUS,25-34,193,2014,3467570
Underlying,All,Opioids,All,AUS,35-44,349,2014,3221600
Underlying,All,Opioids,All,AUS,45-54,287,2014,3104578
Underlying,All,Opioids,All,AUS,55-64,165,2014,2683589
Underlying,All,Opioids,All,AUS,65-74,29,2014,1933242
Underlying,All,Opioids,All,AUS,75-84,14,2014,1056839
Underlying,All,Opioids,All,AUS,15-54,874,2014,12934932
Underlying,All,Opioids,All,AUS,15-64,1039,2014,15618521
Underlying,All,Opioids,All,AUS,Allages,1089,2014,23504138
Underlying,All,Opioids,All,AUS,15-24,35,2015,3154845
Underlying,All,Opioids,All,AUS,25-34,213,2015,3547607
Underlying,All,Opioids,All,AUS,35-44,381,2015,3231643
Underlying,All,Opioids,All,AUS,45-54,300,2015,3125999
Underlying,All,Opioids,All,AUS,55-64,154,2015,2731562
Underlying,All,Opioids,All,AUS,65-74,37,2015,2007971
Underlying,All,Opioids,All,AUS,75-84,8,2015,1080275
Underlying,All,Opioids,All,AUS,15-54,929,2015,13060094
Underlying,All,Opioids,All,AUS,15-64,1083,2015,15791656
Underlying,All,Opioids,All,AUS,Allages,1137,2015,23850784
Underlying,All,Opioids,All,AUS,15-24,54,2016,3172488
Underlying,All,Opioids,All,AUS,25-34,191,2016,3614747
Underlying,All,Opioids,All,AUS,35-44,364,2016,3236348
Underlying,All,Opioids,All,AUS,45-54,283,2016,3157138
Underlying,All,Opioids,All,AUS,55-64,153,2016,2783662
Underlying,All,Opioids,All,AUS,65-74,35,2016,2084469
Underlying,All,Opioids,All,AUS,75-84,18,2016,1106311
Underlying,All,Opioids,All,AUS,15-54,892,2016,13180721
Underlying,All,Opioids,All,AUS,15-64,1045,2016,15964383
Underlying,All,Opioids,All,AUS,Allages,1109,2016,24210809
Underlying,Accidental,Heroin,All,AUS,15-24,65,1997,2619372
Underlying,Accidental,Heroin,All,AUS,25-34,114,1997,2863015
Underlying,Accidental,Heroin,All,AUS,35-44,68,1997,2845815
Underlying,Accidental,Heroin,All,AUS,45-54,3,1997,2376709
Underlying,Accidental,Heroin,All,AUS,55-64,0,1997,1572718
Underlying,Accidental,Heroin,All,AUS,65-74,0,1997,1293537
Underlying,Accidental,Heroin,All,AUS,75-84,0,1997,731247
Underlying,Accidental,Heroin,All,AUS,15-54,249,1997,10704911
Underlying,Accidental,Heroin,All,AUS,15-64,249,1997,12277629
Underlying,Accidental,Heroin,All,AUS,Allages,249,1997,18423037
Underlying,Accidental,Heroin,All,AUS,15-24,95,1998,2592341
Underlying,Accidental,Heroin,All,AUS,25-34,153,1998,2860327
Underlying,Accidental,Heroin,All,AUS,35-44,66,1998,2881490
Underlying,Accidental,Heroin,All,AUS,45-54,8,1998,2460560
Underlying,Accidental,Heroin,All,AUS,55-64,2,1998,1617841
Underlying,Accidental,Heroin,All,AUS,65-74,0,1998,1296598
Underlying,Accidental,Heroin,All,AUS,75-84,0,1998,758134
Underlying,Accidental,Heroin,All,AUS,15-54,322,1998,10794718
Underlying,Accidental,Heroin,All,AUS,15-64,323,1998,12412559
Underlying,Accidental,Heroin,All,AUS,Allages,323,1998,18607584
Underlying,Accidental,Heroin,All,AUS,15-24,113,1999,2583566
Underlying,Accidental,Heroin,All,AUS,25-34,183,1999,2857016
Underlying,Accidental,Heroin,All,AUS,35-44,99,1999,2913704
Underlying,Accidental,Heroin,All,AUS,45-54,25,1999,2525485
Underlying,Accidental,Heroin,All,AUS,55-64,0,1999,1680815
Underlying,Accidental,Heroin,All,AUS,65-74,0,1999,1300015
Underlying,Accidental,Heroin,All,AUS,75-84,0,1999,784073
Underlying,Accidental,Heroin,All,AUS,15-54,420,1999,10879771
Underlying,Accidental,Heroin,All,AUS,15-64,420,1999,12560586
Underlying,Accidental,Heroin,All,AUS,Allages,420,1999,18812264
Underlying,Accidental,Heroin,All,AUS,15-24,93,2e3,2595640
Underlying,Accidental,Heroin,All,AUS,25-34,168,2e3,2855634
Underlying,Accidental,Heroin,All,AUS,35-44,106,2e3,2936641
Underlying,Accidental,Heroin,All,AUS,45-54,17,2e3,2583189
Underlying,Accidental,Heroin,All,AUS,55-64,0,2e3,1750096
Underlying,Accidental,Heroin,All,AUS,65-74,0,2e3,1302006
Underlying,Accidental,Heroin,All,AUS,75-84,0,2e3,811132
Underlying,Accidental,Heroin,All,AUS,15-54,384,2e3,10971104
Underlying,Accidental,Heroin,All,AUS,15-64,384,2e3,12721200
Underlying,Accidental,Heroin,All,AUS,Allages,385,2e3,19028802
Underlying,Accidental,Heroin,All,AUS,15-24,27,2001,2630115
Underlying,Accidental,Heroin,All,AUS,25-34,41,2001,2851409
Underlying,Accidental,Heroin,All,AUS,35-44,21,2001,2953197
Underlying,Accidental,Heroin,All,AUS,45-54,12,2001,2642230
Underlying,Accidental,Heroin,All,AUS,55-64,0,2001,1818447
Underlying,Accidental,Heroin,All,AUS,65-74,0,2001,1311961
Underlying,Accidental,Heroin,All,AUS,75-84,0,2001,843667
Underlying,Accidental,Heroin,All,AUS,15-54,101,2001,11076951
Underlying,Accidental,Heroin,All,AUS,15-64,101,2001,12895398
Underlying,Accidental,Heroin,All,AUS,Allages,101,2001,19274701
Underlying,Accidental,Heroin,All,AUS,15-24,17,2002,2667594
Underlying,Accidental,Heroin,All,AUS,25-34,40,2002,2854494
Underlying,Accidental,Heroin,All,AUS,35-44,23,2002,2966659
Underlying,Accidental,Heroin,All,AUS,45-54,8,2002,2659000
Underlying,Accidental,Heroin,All,AUS,55-64,2,2002,1917188
Underlying,Accidental,Heroin,All,AUS,65-74,0,2002,1324605
Underlying,Accidental,Heroin,All,AUS,75-84,0,2002,868512
Underlying,Accidental,Heroin,All,AUS,15-54,88,2002,11147747
Underlying,Accidental,Heroin,All,AUS,15-64,90,2002,13064935
Underlying,Accidental,Heroin,All,AUS,Allages,90,2002,19495210
Underlying,Accidental,Heroin,All,AUS,15-24,30,2003,2710380
Underlying,Accidental,Heroin,All,AUS,25-34,62,2003,2858260
Underlying,Accidental,Heroin,All,AUS,35-44,33,2003,2972788
Underlying,Accidental,Heroin,All,AUS,45-54,15,2003,2693054
Underlying,Accidental,Heroin,All,AUS,55-64,3,2003,2005259
Underlying,Accidental,Heroin,All,AUS,65-74,0,2003,1336825
Underlying,Accidental,Heroin,All,AUS,75-84,0,2003,895039
Underlying,Accidental,Heroin,All,AUS,15-54,140,2003,11234482
Underlying,Accidental,Heroin,All,AUS,15-64,142,2003,13239741
Underlying,Accidental,Heroin,All,AUS,Allages,142,2003,19720737
Underlying,Accidental,Heroin,All,AUS,15-24,16,2004,2748615
Underlying,Accidental,Heroin,All,AUS,25-34,67,2004,2852818
Underlying,Accidental,Heroin,All,AUS,35-44,30,2004,2981621
Underlying,Accidental,Heroin,All,AUS,45-54,13,2004,2734333
Underlying,Accidental,Heroin,All,AUS,55-64,0,2004,2082254
Underlying,Accidental,Heroin,All,AUS,65-74,0,2004,1353404
Underlying,Accidental,Heroin,All,AUS,75-84,0,2004,919175
Underlying,Accidental,Heroin,All,AUS,15-54,126,2004,11317387
Underlying,Accidental,Heroin,All,AUS,15-64,126,2004,13399641
Underlying,Accidental,Heroin,All,AUS,Allages,126,2004,19932722
Underlying,Accidental,Heroin,All,AUS,15-24,11,2005,2794180
Underlying,Accidental,Heroin,All,AUS,25-34,60,2005,2853071
Underlying,Accidental,Heroin,All,AUS,35-44,28,2005,2996044
Underlying,Accidental,Heroin,All,AUS,45-54,21,2005,2776548
Underlying,Accidental,Heroin,All,AUS,55-64,4,2005,2161731
Underlying,Accidental,Heroin,All,AUS,65-74,0,2005,1373971
Underlying,Accidental,Heroin,All,AUS,75-84,0,2005,935717
Underlying,Accidental,Heroin,All,AUS,15-54,120,2005,11419843
Underlying,Accidental,Heroin,All,AUS,15-64,122,2005,13581574
Underlying,Accidental,Heroin,All,AUS,Allages,122,2005,20176844
Underlying,Accidental,Heroin,All,AUS,15-24,10,2006,2841117
Underlying,Accidental,Heroin,All,AUS,25-34,28,2006,2855732
Underlying,Accidental,Heroin,All,AUS,35-44,12,2006,3025272
Underlying,Accidental,Heroin,All,AUS,45-54,16,2006,2825567
Underlying,Accidental,Heroin,All,AUS,55-64,3,2006,2236827
Underlying,Accidental,Heroin,All,AUS,65-74,0,2006,1397253
Underlying,Accidental,Heroin,All,AUS,75-84,0,2006,948119
Underlying,Accidental,Heroin,All,AUS,15-54,66,2006,11547688
Underlying,Accidental,Heroin,All,AUS,15-64,67,2006,13784515
Underlying,Accidental,Heroin,All,AUS,Allages,67,2006,20450966
Underlying,Accidental,Heroin,All,AUS,15-24,12,2007,2903862
Underlying,Accidental,Heroin,All,AUS,25-34,52,2007,2888102
Underlying,Accidental,Heroin,All,AUS,35-44,27,2007,3059917
Underlying,Accidental,Heroin,All,AUS,45-54,9,2007,2882908
Underlying,Accidental,Heroin,All,AUS,55-64,1,2007,2309362
Underlying,Accidental,Heroin,All,AUS,65-74,0,2007,1440885
Underlying,Accidental,Heroin,All,AUS,75-84,0,2007,958589
Underlying,Accidental,Heroin,All,AUS,15-54,100,2007,11734789
Underlying,Accidental,Heroin,All,AUS,15-64,104,2007,14044151
Underlying,Accidental,Heroin,All,AUS,Allages,104,2007,20827622
Underlying,Accidental,Heroin,All,AUS,15-24,17,2008,2973974
Underlying,Accidental,Heroin,All,AUS,25-34,71,2008,2958352
Underlying,Accidental,Heroin,All,AUS,35-44,49,2008,3088962
Underlying,Accidental,Heroin,All,AUS,45-54,15,2008,2935638
Underlying,Accidental,Heroin,All,AUS,55-64,1,2008,2386210
Underlying,Accidental,Heroin,All,AUS,65-74,0,2008,1485037
Underlying,Accidental,Heroin,All,AUS,75-84,0,2008,967574
Underlying,Accidental,Heroin,All,AUS,15-54,152,2008,11956926
Underlying,Accidental,Heroin,All,AUS,15-64,155,2008,14343136
Underlying,Accidental,Heroin,All,AUS,Allages,155,2008,21249199
Underlying,Accidental,Heroin,All,AUS,15-24,19,2009,3043814
Underlying,Accidental,Heroin,All,AUS,25-34,62,2009,3053686
Underlying,Accidental,Heroin,All,AUS,35-44,62,2009,3116343
Underlying,Accidental,Heroin,All,AUS,45-54,26,2009,2984512
Underlying,Accidental,Heroin,All,AUS,55-64,6,2009,2444692
Underlying,Accidental,Heroin,All,AUS,65-74,0,2009,1546161
Underlying,Accidental,Heroin,All,AUS,75-84,0,2009,976176
Underlying,Accidental,Heroin,All,AUS,15-54,169,2009,12198355
Underlying,Accidental,Heroin,All,AUS,15-64,175,2009,14643047
Underlying,Accidental,Heroin,All,AUS,Allages,175,2009,21691653
Underlying,Accidental,Heroin,All,AUS,15-24,16,2010,3065102
Underlying,Accidental,Heroin,All,AUS,25-34,74,2010,3125453
Underlying,Accidental,Heroin,All,AUS,35-44,65,2010,3137648
Underlying,Accidental,Heroin,All,AUS,45-54,34,2010,3015387
Underlying,Accidental,Heroin,All,AUS,55-64,9,2010,2502787
Underlying,Accidental,Heroin,All,AUS,65-74,0,2010,1613289
Underlying,Accidental,Heroin,All,AUS,75-84,0,2010,986792
Underlying,Accidental,Heroin,All,AUS,15-54,189,2010,12343590
Underlying,Accidental,Heroin,All,AUS,15-64,198,2010,14846377
Underlying,Accidental,Heroin,All,AUS,Allages,198,2010,22031750
Underlying,Accidental,Heroin,All,AUS,15-24,11,2011,3065122
Underlying,Accidental,Heroin,All,AUS,25-34,81,2011,3194331
Underlying,Accidental,Heroin,All,AUS,35-44,52,2011,3161154
Underlying,Accidental,Heroin,All,AUS,45-54,39,2011,3035900
Underlying,Accidental,Heroin,All,AUS,55-64,2,2011,2561993
Underlying,Accidental,Heroin,All,AUS,65-74,0,2011,1681931
Underlying,Accidental,Heroin,All,AUS,75-84,3,2011,1002373
Underlying,Accidental,Heroin,All,AUS,15-54,183,2011,12456507
Underlying,Accidental,Heroin,All,AUS,15-64,186,2011,15018500
Underlying,Accidental,Heroin,All,AUS,Allages,187,2011,22340024
Underlying,Accidental,Heroin,All,AUS,15-24,9,2012,3092512
Underlying,Accidental,Heroin,All,AUS,25-34,54,2012,3290393
Underlying,Accidental,Heroin,All,AUS,35-44,48,2012,3192465
Underlying,Accidental,Heroin,All,AUS,45-54,27,2012,3058142
Underlying,Accidental,Heroin,All,AUS,55-64,6,2012,2590518
Underlying,Accidental,Heroin,All,AUS,65-74,3,2012,1776418
Underlying,Accidental,Heroin,All,AUS,75-84,0,2012,1017201
Underlying,Accidental,Heroin,All,AUS,15-54,138,2012,12633512
Underlying,Accidental,Heroin,All,AUS,15-64,144,2012,15224030
Underlying,Accidental,Heroin,All,AUS,Allages,146,2012,22742475
Underlying,Accidental,Heroin,All,AUS,15-24,10,2013,3118366
Underlying,Accidental,Heroin,All,AUS,25-34,63,2013,3388170
Underlying,Accidental,Heroin,All,AUS,35-44,87,2013,3214188
Underlying,Accidental,Heroin,All,AUS,45-54,29,2013,3080735
Underlying,Accidental,Heroin,All,AUS,55-64,6,2013,2634301
Underlying,Accidental,Heroin,All,AUS,65-74,0,2013,1859229
Underlying,Accidental,Heroin,All,AUS,75-84,0,2013,1034415
Underlying,Accidental,Heroin,All,AUS,15-54,189,2013,12801459
Underlying,Accidental,Heroin,All,AUS,15-64,195,2013,15435760
Underlying,Accidental,Heroin,All,AUS,Allages,195,2013,23145901
Underlying,Accidental,Heroin,All,AUS,15-24,10,2014,3141184
Underlying,Accidental,Heroin,All,AUS,25-34,51,2014,3467570
Underlying,Accidental,Heroin,All,AUS,35-44,80,2014,3221600
Underlying,Accidental,Heroin,All,AUS,45-54,46,2014,3104578
Underlying,Accidental,Heroin,All,AUS,55-64,30,2014,2683589
Underlying,Accidental,Heroin,All,AUS,65-74,0,2014,1933242
Underlying,Accidental,Heroin,All,AUS,75-84,0,2014,1056839
Underlying,Accidental,Heroin,All,AUS,15-54,187,2014,12934932
Underlying,Accidental,Heroin,All,AUS,15-64,217,2014,15618521
Underlying,Accidental,Heroin,All,AUS,Allages,217,2014,23504138
Underlying,Accidental,Heroin,All,AUS,15-24,9,2015,3154845
Underlying,Accidental,Heroin,All,AUS,25-34,62,2015,3547607
Underlying,Accidental,Heroin,All,AUS,35-44,117,2015,3231643
Underlying,Accidental,Heroin,All,AUS,45-54,67,2015,3125999
Underlying,Accidental,Heroin,All,AUS,55-64,19,2015,2731562
Underlying,Accidental,Heroin,All,AUS,65-74,3,2015,2007971
Underlying,Accidental,Heroin,All,AUS,75-84,0,2015,1080275
Underlying,Accidental,Heroin,All,AUS,15-54,255,2015,13060094
Underlying,Accidental,Heroin,All,AUS,15-64,274,2015,15791656
Underlying,Accidental,Heroin,All,AUS,Allages,276,2015,23850784
Underlying,Accidental,Heroin,All,AUS,15-24,19,2016,3172488
Underlying,Accidental,Heroin,All,AUS,25-34,65,2016,3614747
Underlying,Accidental,Heroin,All,AUS,35-44,132,2016,3236348
Underlying,Accidental,Heroin,All,AUS,45-54,86,2016,3157138
Underlying,Accidental,Heroin,All,AUS,55-64,37,2016,2783662
Underlying,Accidental,Heroin,All,AUS,65-74,4,2016,2084469
Underlying,Accidental,Heroin,All,AUS,75-84,2,2016,1106311
Underlying,Accidental,Heroin,All,AUS,15-54,302,2016,13180721
Underlying,Accidental,Heroin,All,AUS,15-64,339,2016,15964383
Underlying,Accidental,Heroin,All,AUS,Allages,342,2016,24210809
Underlying,All,Heroin,All,AUS,15-24,72,1997,2619372
Underlying,All,Heroin,All,AUS,25-34,124,1997,2863015
Underlying,All,Heroin,All,AUS,35-44,72,1997,2845815
Underlying,All,Heroin,All,AUS,45-54,2,1997,2376709
Underlying,All,Heroin,All,AUS,55-64,0,1997,1572718
Underlying,All,Heroin,All,AUS,65-74,0,1997,1293537
Underlying,All,Heroin,All,AUS,75-84,0,1997,731247
Underlying,All,Heroin,All,AUS,15-54,272,1997,10704911
Underlying,All,Heroin,All,AUS,15-64,272,1997,12277629
Underlying,All,Heroin,All,AUS,Allages,272,1997,18423037
Underlying,All,Heroin,All,AUS,15-24,102,1998,2592341
Underlying,All,Heroin,All,AUS,25-34,163,1998,2860327
Underlying,All,Heroin,All,AUS,35-44,70,1998,2881490
Underlying,All,Heroin,All,AUS,45-54,9,1998,2460560
Underlying,All,Heroin,All,AUS,55-64,3,1998,1617841
Underlying,All,Heroin,All,AUS,65-74,0,1998,1296598
Underlying,All,Heroin,All,AUS,75-84,0,1998,758134
Underlying,All,Heroin,All,AUS,15-54,344,1998,10794718
Underlying,All,Heroin,All,AUS,15-64,345,1998,12412559
Underlying,All,Heroin,All,AUS,Allages,345,1998,18607584
Underlying,All,Heroin,All,AUS,15-24,118,1999,2583566
Underlying,All,Heroin,All,AUS,25-34,191,1999,2857016
Underlying,All,Heroin,All,AUS,35-44,107,1999,2913704
Underlying,All,Heroin,All,AUS,45-54,25,1999,2525485
Underlying,All,Heroin,All,AUS,55-64,0,1999,1680815
Underlying,All,Heroin,All,AUS,65-74,0,1999,1300015
Underlying,All,Heroin,All,AUS,75-84,0,1999,784073
Underlying,All,Heroin,All,AUS,15-54,441,1999,10879771
Underlying,All,Heroin,All,AUS,15-64,441,1999,12560586
Underlying,All,Heroin,All,AUS,Allages,441,1999,18812264
Underlying,All,Heroin,All,AUS,15-24,97,2e3,2595640
Underlying,All,Heroin,All,AUS,25-34,182,2e3,2855634
Underlying,All,Heroin,All,AUS,35-44,114,2e3,2936641
Underlying,All,Heroin,All,AUS,45-54,19,2e3,2583189
Underlying,All,Heroin,All,AUS,55-64,1,2e3,1750096
Underlying,All,Heroin,All,AUS,65-74,0,2e3,1302006
Underlying,All,Heroin,All,AUS,75-84,0,2e3,811132
Underlying,All,Heroin,All,AUS,15-54,412,2e3,10971104
Underlying,All,Heroin,All,AUS,15-64,413,2e3,12721200
Underlying,All,Heroin,All,AUS,Allages,414,2e3,19028802
Underlying,All,Heroin,All,AUS,15-24,30,2001,2630115
Underlying,All,Heroin,All,AUS,25-34,47,2001,2851409
Underlying,All,Heroin,All,AUS,35-44,23,2001,2953197
Underlying,All,Heroin,All,AUS,45-54,13,2001,2642230
Underlying,All,Heroin,All,AUS,55-64,0,2001,1818447
Underlying,All,Heroin,All,AUS,65-74,0,2001,1311961
Underlying,All,Heroin,All,AUS,75-84,0,2001,843667
Underlying,All,Heroin,All,AUS,15-54,113,2001,11076951
Underlying,All,Heroin,All,AUS,15-64,113,2001,12895398
Underlying,All,Heroin,All,AUS,Allages,113,2001,19274701
Underlying,All,Heroin,All,AUS,15-24,18,2002,2667594
Underlying,All,Heroin,All,AUS,25-34,43,2002,2854494
Underlying,All,Heroin,All,AUS,35-44,24,2002,2966659
Underlying,All,Heroin,All,AUS,45-54,9,2002,2659000
Underlying,All,Heroin,All,AUS,55-64,4,2002,1917188
Underlying,All,Heroin,All,AUS,65-74,0,2002,1324605
Underlying,All,Heroin,All,AUS,75-84,0,2002,868512
Underlying,All,Heroin,All,AUS,15-54,94,2002,11147747
Underlying,All,Heroin,All,AUS,15-64,96,2002,13064935
Underlying,All,Heroin,All,AUS,Allages,96,2002,19495210
Underlying,All,Heroin,All,AUS,15-24,31,2003,2710380
Underlying,All,Heroin,All,AUS,25-34,67,2003,2858260
Underlying,All,Heroin,All,AUS,35-44,36,2003,2972788
Underlying,All,Heroin,All,AUS,45-54,15,2003,2693054
Underlying,All,Heroin,All,AUS,55-64,4,2003,2005259
Underlying,All,Heroin,All,AUS,65-74,0,2003,1336825
Underlying,All,Heroin,All,AUS,75-84,0,2003,895039
Underlying,All,Heroin,All,AUS,15-54,149,2003,11234482
Underlying,All,Heroin,All,AUS,15-64,151,2003,13239741
Underlying,All,Heroin,All,AUS,Allages,151,2003,19720737
Underlying,All,Heroin,All,AUS,15-24,17,2004,2748615
Underlying,All,Heroin,All,AUS,25-34,73,2004,2852818
Underlying,All,Heroin,All,AUS,35-44,34,2004,2981621
Underlying,All,Heroin,All,AUS,45-54,14,2004,2734333
Underlying,All,Heroin,All,AUS,55-64,0,2004,2082254
Underlying,All,Heroin,All,AUS,65-74,0,2004,1353404
Underlying,All,Heroin,All,AUS,75-84,0,2004,919175
Underlying,All,Heroin,All,AUS,15-54,138,2004,11317387
Underlying,All,Heroin,All,AUS,15-64,138,2004,13399641
Underlying,All,Heroin,All,AUS,Allages,138,2004,19932722
Underlying,All,Heroin,All,AUS,15-24,11,2005,2794180
Underlying,All,Heroin,All,AUS,25-34,62,2005,2853071
Underlying,All,Heroin,All,AUS,35-44,33,2005,2996044
Underlying,All,Heroin,All,AUS,45-54,23,2005,2776548
Underlying,All,Heroin,All,AUS,55-64,2,2005,2161731
Underlying,All,Heroin,All,AUS,65-74,0,2005,1373971
Underlying,All,Heroin,All,AUS,75-84,0,2005,935717
Underlying,All,Heroin,All,AUS,15-54,129,2005,11419843
Underlying,All,Heroin,All,AUS,15-64,131,2005,13581574
Underlying,All,Heroin,All,AUS,Allages,131,2005,20176844
Underlying,All,Heroin,All,AUS,15-24,10,2006,2841117
Underlying,All,Heroin,All,AUS,25-34,31,2006,2855732
Underlying,All,Heroin,All,AUS,35-44,14,2006,3025272
Underlying,All,Heroin,All,AUS,45-54,17,2006,2825567
Underlying,All,Heroin,All,AUS,55-64,3,2006,2236827
Underlying,All,Heroin,All,AUS,65-74,0,2006,1397253
Underlying,All,Heroin,All,AUS,75-84,0,2006,948119
Underlying,All,Heroin,All,AUS,15-54,72,2006,11547688
Underlying,All,Heroin,All,AUS,15-64,73,2006,13784515
Underlying,All,Heroin,All,AUS,Allages,73,2006,20450966
Underlying,All,Heroin,All,AUS,15-24,14,2007,2903862
Underlying,All,Heroin,All,AUS,25-34,63,2007,2888102
Underlying,All,Heroin,All,AUS,35-44,31,2007,3059917
Underlying,All,Heroin,All,AUS,45-54,12,2007,2882908
Underlying,All,Heroin,All,AUS,55-64,6,2007,2309362
Underlying,All,Heroin,All,AUS,65-74,0,2007,1440885
Underlying,All,Heroin,All,AUS,75-84,0,2007,958589
Underlying,All,Heroin,All,AUS,15-54,120,2007,11734789
Underlying,All,Heroin,All,AUS,15-64,126,2007,14044151
Underlying,All,Heroin,All,AUS,Allages,126,2007,20827622
Underlying,All,Heroin,All,AUS,15-24,19,2008,2973974
Underlying,All,Heroin,All,AUS,25-34,79,2008,2958352
Underlying,All,Heroin,All,AUS,35-44,55,2008,3088962
Underlying,All,Heroin,All,AUS,45-54,20,2008,2935638
Underlying,All,Heroin,All,AUS,55-64,5,2008,2386210
Underlying,All,Heroin,All,AUS,65-74,0,2008,1485037
Underlying,All,Heroin,All,AUS,75-84,0,2008,967574
Underlying,All,Heroin,All,AUS,15-54,173,2008,11956926
Underlying,All,Heroin,All,AUS,15-64,178,2008,14343136
Underlying,All,Heroin,All,AUS,Allages,178,2008,21249199
Underlying,All,Heroin,All,AUS,15-24,20,2009,3043814
Underlying,All,Heroin,All,AUS,25-34,73,2009,3053686
Underlying,All,Heroin,All,AUS,35-44,69,2009,3116343
Underlying,All,Heroin,All,AUS,45-54,32,2009,2984512
Underlying,All,Heroin,All,AUS,55-64,8,2009,2444692
Underlying,All,Heroin,All,AUS,65-74,0,2009,1546161
Underlying,All,Heroin,All,AUS,75-84,0,2009,976176
Underlying,All,Heroin,All,AUS,15-54,194,2009,12198355
Underlying,All,Heroin,All,AUS,15-64,202,2009,14643047
Underlying,All,Heroin,All,AUS,Allages,202,2009,21691653
Underlying,All,Heroin,All,AUS,15-24,16,2010,3065102
Underlying,All,Heroin,All,AUS,25-34,83,2010,3125453
Underlying,All,Heroin,All,AUS,35-44,72,2010,3137648
Underlying,All,Heroin,All,AUS,45-54,38,2010,3015387
Underlying,All,Heroin,All,AUS,55-64,12,2010,2502787
Underlying,All,Heroin,All,AUS,65-74,0,2010,1613289
Underlying,All,Heroin,All,AUS,75-84,0,2010,986792
Underlying,All,Heroin,All,AUS,15-54,209,2010,12343590
Underlying,All,Heroin,All,AUS,15-64,221,2010,14846377
Underlying,All,Heroin,All,AUS,Allages,221,2010,22031750
Underlying,All,Heroin,All,AUS,15-24,11,2011,3065122
Underlying,All,Heroin,All,AUS,25-34,97,2011,3194331
Underlying,All,Heroin,All,AUS,35-44,62,2011,3161154
Underlying,All,Heroin,All,AUS,45-54,43,2011,3035900
Underlying,All,Heroin,All,AUS,55-64,5,2011,2561993
Underlying,All,Heroin,All,AUS,65-74,0,2011,1681931
Underlying,All,Heroin,All,AUS,75-84,2,2011,1002373
Underlying,All,Heroin,All,AUS,15-54,213,2011,12456507
Underlying,All,Heroin,All,AUS,15-64,218,2011,15018500
Underlying,All,Heroin,All,AUS,Allages,219,2011,22340024
Underlying,All,Heroin,All,AUS,15-24,9,2012,3092512
Underlying,All,Heroin,All,AUS,25-34,61,2012,3290393
Underlying,All,Heroin,All,AUS,35-44,59,2012,3192465
Underlying,All,Heroin,All,AUS,45-54,32,2012,3058142
Underlying,All,Heroin,All,AUS,55-64,7,2012,2590518
Underlying,All,Heroin,All,AUS,65-74,1,2012,1776418
Underlying,All,Heroin,All,AUS,75-84,2,2012,1017201
Underlying,All,Heroin,All,AUS,15-54,161,2012,12633512
Underlying,All,Heroin,All,AUS,15-64,168,2012,15224030
Underlying,All,Heroin,All,AUS,Allages,172,2012,22742475
Underlying,All,Heroin,All,AUS,15-24,11,2013,3118366
Underlying,All,Heroin,All,AUS,25-34,65,2013,3388170
Underlying,All,Heroin,All,AUS,35-44,93,2013,3214188
Underlying,All,Heroin,All,AUS,45-54,31,2013,3080735
Underlying,All,Heroin,All,AUS,55-64,7,2013,2634301
Underlying,All,Heroin,All,AUS,65-74,0,2013,1859229
Underlying,All,Heroin,All,AUS,75-84,0,2013,1034415
Underlying,All,Heroin,All,AUS,15-54,200,2013,12801459
Underlying,All,Heroin,All,AUS,15-64,207,2013,15435760
Underlying,All,Heroin,All,AUS,Allages,207,2013,23145901
Underlying,All,Heroin,All,AUS,15-24,12,2014,3141184
Underlying,All,Heroin,All,AUS,25-34,58,2014,3467570
Underlying,All,Heroin,All,AUS,35-44,85,2014,3221600
Underlying,All,Heroin,All,AUS,45-54,51,2014,3104578
Underlying,All,Heroin,All,AUS,55-64,30,2014,2683589
Underlying,All,Heroin,All,AUS,65-74,0,2014,1933242
Underlying,All,Heroin,All,AUS,75-84,0,2014,1056839
Underlying,All,Heroin,All,AUS,15-54,206,2014,12934932
Underlying,All,Heroin,All,AUS,15-64,236,2014,15618521
Underlying,All,Heroin,All,AUS,Allages,236,2014,23504138
Underlying,All,Heroin,All,AUS,15-24,9,2015,3154845
Underlying,All,Heroin,All,AUS,25-34,67,2015,3547607
Underlying,All,Heroin,All,AUS,35-44,128,2015,3231643
Underlying,All,Heroin,All,AUS,45-54,73,2015,3125999
Underlying,All,Heroin,All,AUS,55-64,19,2015,2731562
Underlying,All,Heroin,All,AUS,65-74,2,2015,2007971
Underlying,All,Heroin,All,AUS,75-84,0,2015,1080275
Underlying,All,Heroin,All,AUS,15-54,277,2015,13060094
Underlying,All,Heroin,All,AUS,15-64,296,2015,15791656
Underlying,All,Heroin,All,AUS,Allages,299,2015,23850784
Underlying,All,Heroin,All,AUS,15-24,20,2016,3172488
Underlying,All,Heroin,All,AUS,25-34,69,2016,3614747
Underlying,All,Heroin,All,AUS,35-44,141,2016,3236348
